,0
P_CAB39L,100
P_ASPA,100
P_SH3BGRL2,99
P_LYVE1,97
P_TF,96
T_F10,96
P_HPX,96
P_ALB,95
P_PID1,95
T_SASH1,92
P_DCN,92
P_RECK,91
PP_CAVIN2,90
P_CAVIN2,89
P_SERPINC1,88
T_ASPA,88
T_KRT4,87
T_CLEC3B,85
T_ETFDH,84
T_GPD1L,83
PP_NFIA,82
P_SPTAN1,82
P_SELENBP1,81
T_KRT13,80
T_MPC1,78
P_PODN,77
T_CAB39L,75
T_NXPH3,74
T_CFD,73
P_SERPINA6,72
P_DPT,72
T_RERGL,71
P_LUM,70
T_ABCA8,70
T_SCARA5,69
P_NOSTRIN,67
T_GPRIN1,67
PP_AQP1,66
P_AHSG,66
P_OGN,64
P_EHD2,63
P_TOP1,63
PP_DCN,63
T_CCL14,61
T_LGI1,60
P_SERPINA1,60
T_CYP4F29P,59
PP_NAXD,54
P_SERPING1,52
P_RAB5B,52
T_NRG2,51
PP_EHD2,51
P_SSC5D,51
P_CDC27,49
T_WDR54,48
T_ADAM12,48
P_GC,48
P_ABCA8,48
T_FAM107A,48
T_PKHD1L1,48
P_MYBBP1A,47
P_SERPINA7,47
P_RBM15,46
P_ADH1B,46
P_KRT13,46
P_CAVIN1,46
P_ORM2,46
T_MUC21,46
P_TNS2,45
P_KNG1,44
P_NSUN2,44
P_AGT,44
T_GGTA1P,43
PP_IFI35,41
P_TUB,40
P_TMOD2,40
T_TMEM100,40
P_PRELP,39
T_ADAMTS9-AS2,39
P_SPTBN1,39
P_APPL1,39
T_LOC105378437,39
P_SERPINA3,39
T_LPCAT1,37
PP_GREM2,37
T_MMRN1,36
P_MAOB,36
P_TTR,36
T_MYOC,36
T_PLAC9,36
T_MAL,35
P_DPYSL2,35
PP_CAVIN1,34
T_FAM189A2,34
T_SH3BGRL2,34
P_ADH4,33
P_GTPBP4,33
T_SPINDOC,32
T_STX1A,32
T_PPP1R3C,32
P_ANK2,32
T_ANKRD20A5P,31
T_LOC105373265,31
P_BCKDHA,30
T_ATP13A3,30
T_PLP1,29
T_FOXO4,29
PP_SPTAN1,28
P_ITIH5,28
T_SUOX,28
T_GREM2,28
P_ATXN2L,28
T_LINC02487,27
T_VAV2,27
P_SOD3,27
P_SERPIND1,27
PP_FETUB,26
T_LOC110091776,26
T_ANKRD20A11P,26
T_TMPRSS11B,26
PP_CD34,25
T_C1QTNF6,25
P_UTRN,25
PP_ADD3,25
T_USB1,24
PP_TRPM6,24
T_QARS,24
M_NLRP4,24
T_RRAGD,24
P_MGLL,23
P_HSPA12B,23
T_PEBP1,23
T_P3H1,23
PP_PPP1R1C,22
T_MORC2,22
T_RSPO1,22
T_KIF26B,22
P_TNXB,22
PP_SYN2,21
P_COL15A1,21
P_A1BG,21
T_SERPINH1,21
P_PLCB1,21
T_KAT2B,21
T_TCF3,20
P_VIT,20
T_PLA2G7,20
T_MYRIP,20
T_LOC105374314,20
T_NCAPH,20
T_MMP12,19
PP_SASH1,19
PP_AHSG,19
T_MMP1,19
T_TMEM252,19
T_XPNPEP2,18
T_TUBB3,18
PP_KANK2,18
T_FAIM2,18
T_EMP1,18
P_MMP14,18
T_CDC25B,17
P_AKAP12,17
PP_KALRN,17
P_COL28A1,17
T_PLCXD3,16
T_MINDY1,16
P_MTURN,16
T_TNXB,16
P_BTD,16
T_PDLIM2,16
T_HCG22,16
PP_SCG2,16
T_KPNA2,15
T_MYO1B,15
P_AKAP8L,15
T_PTK7,15
T_CLSPN,15
PP_OXR1,15
P_IL33,15
T_LOXL2,15
T_ACADVL,15
T_SCN7A,15
P_SORBS2,15
P_ADAR,14
T_RHEBL1,14
T_FEN1,14
T_MGST2,14
P_CDK11B,14
PP_PRRC2C,14
P_CP,14
T_APBA2,14
T_LOC105373266,14
T_LOC101928152,14
PP_ANK2,14
T_PLXNA1,14
T_FAM149A,13
T_TRIP10,13
P_CFD,13
T_CEP55,13
T_C1QTNF7,13
P_CTNNBL1,12
M_ZNF578,12
T_SCP2,12
T_MIR29B2CHG,12
T_TTYH3,12
P_APOA2,12
T_LOC102723638,12
T_ADH1B,12
PP_MEOX2,12
PP_KRT13,12
PP_KANK3,11
T_INHBA,11
P_CPSF1,11
P_ACAD8,11
T_CRNN,11
P_KRT4,11
T_FGF10,11
PP_SERPIND1,11
P_CFI,11
PP_CTTNBP2,11
PP_SKI,11
T_CYP4F12,11
T_VIT,10
T_MYO9B,10
P_ARID3A,10
T_LIMK1,10
P_CD34,10
P_APOD,10
T_TGFBR3,10
PP_PIP5K1C,10
P_MAGOHB,10
T_C2orf54,10
PP_KNG1,10
T_TMEM132C,10
T_HPGD,9
T_ECHDC2,9
T_AP5Z1,9
T_CYP4F35P,9
P_ALDH9A1,9
T_FAXDC2,9
T_NDRG2,9
M_NKAPL,9
T_SPNS1,9
P_SCIN,9
T_PLOD3,9
