,0
P_HPX,93
P_SERPINA6,66
T_ETFDH,61
P_NOSTRIN,59
P_SERPINA1,57
P_SH3BGRL2,57
P_ORM2,46
P_SERPING1,39
P_SERPINA7,33
T_ASPA,30
PP_IFI35,29
P_SERPINA3,28
T_LOC105373265,28
P_PID1,26
T_ADAM12,25
P_LYVE1,25
T_QARS,23
T_MMRN1,22
PP_TRPM6,22
P_AGT,22
PP_CAVIN2,22
T_GREM2,22
P_KRT13,21
P_ADH4,20
P_AHSG,20
P_EHD2,19
T_LOC105374314,19
T_GGTA1P,19
T_LPCAT1,19
T_LGI1,19
T_ADAMTS9-AS2,17
P_TOP1,16
T_CLEC3B,16
P_A1BG,16
T_KIF26B,16
P_SERPINC1,16
T_GPRIN1,16
T_LOC105378437,15
P_CAVIN2,15
P_KNG1,14
T_CCL14,14
P_ALB,14
T_PDLIM2,14
P_AKAP8L,14
T_RHEBL1,14
P_CP,13
PP_AQP1,13
T_PLA2G7,12
P_OGN,12
P_GC,12
T_MYRIP,12
T_SASH1,12
P_ADAR,12
PP_GREM2,12
P_SPTAN1,11
T_MMP1,11
T_FAM107A,11
T_C1QTNF6,10
T_LINC02487,10
T_PLXNA1,10
PP_SPTAN1,10
P_IL33,9
T_LOC102723638,9
T_AP5Z1,9
T_LIMK1,9
PP_OXR1,9
PP_CTTNBP2,9
PP_SERPIND1,8
T_MYO9B,8
T_TMEM252,8
PP_PRRC2C,8
T_SH3BGRL2,8
T_PKHD1L1,8
T_CDC25B,7
P_STAT2,7
PP_EIF4EBP2,7
P_ASPA,7
T_APBA2,7
T_MMP12,7
T_BMX,7
P_AZGP1,7
T_MPC1,6
P_CLCNKA,6
T_CAB39L,6
T_LOC105373266,6
M_SLC25A2,6
T_LOC102724122,6
PP_NFIA,6
PP_SASH1,6
T_LOC107986113,6
T_MINDY1,6
T_TRIP10,6
T_SERPINH1,6
PP_FETUB,6
PP_SKI,5
T_GPT2,5
P_APOD,5
P_COL28A1,5
T_ATIC,5
T_MGST2,5
T_EMP1,5
P_C3,5
T_P3H1,5
T_GRIN2D,5
P_CDC27,5
T_SCP2,5
T_FOXO4,5
T_RUVBL1,5
T_MMP11,5
T_NRG2,4
P_PHYHD1,4
T_ABCD3,4
T_LOC107984568,4
T_VAV2,4
T_LOC107984567,4
PP_SRSF2,4
P_ADH1B,4
P_APOA2,4
T_EIF2AK2,4
P_NEMP1,4
T_C14orf180,4
T_ANGPTL5,4
P_SCIN,4
T_COLGALT1,4
P_GTPBP4,4
P_APOB,4
T_RERGL,4
T_PLCXD3,4
P_TNS2,4
