,0
VSX1,100
HAS1,100
HOXD12,100
PCDH17,100
PIK3R5,100
ST8SIA5,100
SOX11,100
PAPOLB,100
SYCP1,100
CHAT,100
FIGLA,100
ZNF835,100
SMPD3,100
ABCC9,100
PABPC5,100
ATP13A3,100
NMBR,100
MEI1,100
NPTX2,100
ZIK1,100
KCNC2,100
SIM1,100
GRIN2B,100
TMEM132D,100
CCDC181,100
POU4F2,100
PCDHAC1,100
ADAMTS18,100
C17orf104,100
CHGB,100
GFAP,100
MESP2,100
CARTPT,100
CTNND2,100
AATK,100
T,100
PTF1A,100
HOXA11,100
MTNR1B,100
NRN1,100
SLC2A14,100
PEX5L,100
SPIN2A,100
BRINP1,100
GCM2,100
CDO1,100
REC114,100
CSGALNACT1,100
ZNF43,100
DLEU7,100
TBX4,100
OLIG3,100
SNTG1,100
NR5A2,100
PRDM14,100
ZIM2,100
CETN1,100
NPAS4,100
NKX1-1,100
VSTM2A,100
ZNF471,100
ADAM33,100
CNTNAP5,100
PCDHGB4,100
SLC25A2,100
INPP5F,100
ZNF280B,100
DAW1,100
RALYL,100
ELTD1,100
ZFP42,100
SKOR2,100
ZIC4,100
BRSK1,100
SPAG6,100
MAEL,100
C18orf42,100
UPB1,100
ZNF761,100
MAN2B1,100
CLVS2,100
ZNF347,100
NR2E1,100
CCR10,100
C1orf94,100
PPM1E,100
DCAF12L1,100
NELL1,100
ZNF529,100
CTD-2587H24.4,100
ZNF418,100
ZNF667,100
ZNF135,100
POM121L12,100
DOK6,100
FOXR1,100
C19orf83,100
TSPYL5,100
CORO6,100
SOX17,100
FBXO17,100
RGN,100
OTP,100
USP44,100
MYOZ3,100
PCDHGB5,100
ZSCAN18,100
NXPH1,100
MFSD7,100
KCNAB1,100
ITIH5,100
FAM159A,100
DNAH8,100
GRIA4,100
KCNA3,100
PCDHGA3,100
HCN1,100
LOXHD1,100
B3GAT1,100
ZIC1,100
ZPBP2,100
C10orf90,100
PBX1,100
PNMAL1,100
TBX20,100
LYPD5,100
GPRASP1,100
ZNF610,100
CCK,100
WT1,100
FAM178B,100
BCAN,100
DKK2,100
GPR150,100
