,0
HOXD12,100
NKAPL,100
RGS22,100
NLRP4,100
BOLL,100
FAM135B,100
BRDT,100
GRM6,100
ABCC9,99
HOXD9,99
ZNF578,99
VSX1,99
PCDH17,99
ADAMTS20,99
ZNF132,99
HAS1,98
CCDC181,98
NMBR,97
GPR75,97
ZBED9,96
ZNF667,96
FOXR1,96
BARHL2,96
EOMES,95
KCNC2,95
GRIN2B,94
TMEM132D,94
CHAT,94
SLC25A2,93
CBLN4,93
CETN1,93
SCT,92
MDGA2,91
SIM1,91
MEI1,91
VSTM2A,91
NKX1-1,90
ZNF454,90
C11orf85,90
KBTBD12,90
BCL3,89
FSIP2,88
PCDHGA11,87
PCDHGC4,87
NKX2-6,87
MARCH11,87
SPHKAP,87
POM121L12,85
TAC1,85
PAPOLB,84
ZNF761,84
SFTA3,83
FOXB2,83
ADAM33,83
HOXA11,82
NPTX2,81
FTMT,80
ZNF835,78
PABPC5,78
PCDHGB4,76
SOX11,73
ZNF135,73
ZNF582,72
PEX5L,72
SMPD3,71
AVPR1A,71
GCM2,70
UBBP4,70
PTF1A,70
AATK,70
ZNF177,68
PRAME,68
TBX4,67
SYCP1,67
TBX5,66
MT1A,64
ADAMTS18,63
COX8C,63
ADCY8,62
SPIN2A,61
PCDHGB6,61
DRD5,61
KCNE5,58
NT5DC3,57
HTR1B,56
REC114,56
RGN,56
SEC31B,55
DNAH8,55
C9orf84,51
ZNF665,49
CNTNAP5,49
FOXD2,48
ZNF529,48
CTD-2587H24.4,47
AQPEP,45
HOXC6,44
ZNF471,44
ANKRD30B,43
ATP13A3,40
TNNT3,40
ZNF418,40
TACC2,39
DPP6,39
SKOR2,37
ZIK1,37
C19orf83,37
C18orf42,36
SIPA1,36
NPFFR1,35
CCR10,35
FIGLA,33
PBX1,32
SLC2A14,32
GAB4,31
LYPD5,30
SPAG6,30
ZIM2,30
NRN1,29
ALX4,29
POU4F2,29
OSR1,27
DLEU7,27
MTNR1B,27
TKTL1,25
ZIC1,25
ADCYAP1,24
GREB1,24
ZNF577,23
UPB1,23
NFIX,23
OLIG3,23
NETO1,23
SNTG1,23
MAGEB1,22
DCAF12L1,22
ADAM30,21
GHSR,21
KCNA3,21
PEG3,21
CACNA1A,21
EPHX3,20
ZNF43,20
FAM178B,20
CDO1,19
EXD3,19
ZIC4,19
VPS4A,18
ELTD1,18
BRSK1,18
TSPYL5,18
UBAP1L,17
RIPPLY3,17
CCM2L,16
OTX2,15
PRDM14,15
TEX28,13
PCDHGA7,12
ZSCAN1,12
KCNAB3,12
PHYHIPL,12
OTP,12
DIRC3,12
HBQ1,11
ST8SIA5,11
PCSK1,11
C1orf141,11
MGAT4D,10
NLRP1,10
RP11-108K14.8,10
CRYGD,10
GRIN3B,10
PUS3,10
T,9
HOXA5,9
BCAN,9
ZNF98,9
WRAP73,9
NOC2L,9
MSX1,9
CSGALNACT1,9
CLDN11,8
TBX20,8
PDCD1,8
PCDHGB5,8
PNMAL1,8
HORMAD2,8
CCK,8
LA16c-306E5.2,8
GMIP,8
NPAS4,7
DIRAS3,7
SORCS1,7
ZPBP2,7
C16orf90,7
DGKZ,6
KLHL17,6
HOXA10-HOXA9,6
PIEZO2,6
LCN6,6
C14orf39,6
KHDRBS2,6
FAM153A,6
INPP5F,6
TDRD6,6
ANKRD30BL,5
DCDC2C,5
SLC35F4,5
ZNF347,5
ATP10A,5
CCDC37,5
RALYL,5
USP44,5
ELAVL4,5
CXorf67,5
ANKRD45,4
KRT7,4
RTN1,4
NTM,4
ZNF280B,4
AJAP1,4
THBS2,4
ZNF732,4
S100A10,4
ZCCHC13,4
CACNA2D4,4
ZNF568,3
ZDHHC11,3
GRIA2,3
PCDHGA3,3
HEYL,3
HCN1,3
SOX17,3
LDHAL6B,3
HIST1H2BA,3
C9orf129,3
KCNAB1,3
SLC4A10,3
RYR2,3
ITIH5,3
CA3,3
RP11-216L13.16,3
PSKH2,2
MUC6,2
CALCA,2
MAN2B1,2
CCDC81,2
DPP10,2
LRRC72,2
DES,2
ZNF701,2
BRINP1,2
SPSB4,2
NR2E1,2
NEU4,2
ZSCAN18,2
LRP8,2
LHX5,2
RANBP17,2
SMIM17,2
MAEL,2
S1PR4,2
GPSM1,2
CMTM2,1
BHLHA9,1
HOXD4,1
PAX3,1
SOHLH1,1
CLIP3,1
HLA-DPB1,1
COLEC11,1
GAL3ST3,1
MFSD7,1
ZNF671,1
KIAA1211,1
HAL,1
SLC26A1,1
FES,1
AL022328.1,1
SKAP1,1
DPY19L2,1
NCOR2,1
DHX40,1
PCDHGB7,1
TEX101,1
SLC6A3,1
MYOZ3,1
ZNF610,1
GPRASP1,1
LYPD4,1
LOXHD1,1
M1AP,1
CLVS2,1
FSD1,1
GLMP,1
ZNF382,1
B3GAT1,1
NCR3LG1,1
HOXD3,1
FRZB,1
SLFN13,1
BST1,1
PALM,1
GPR26,1
PCDHGA8,1
FAM155A,1
GRHL3,1
HKR1,1
