,0
GRM6,99
FOXR1,95
GPR75,78
VSX1,78
NLRP4,72
SMPD3,70
CCDC181,67
AATK,66
VSTM2A,65
COX8C,62
SPIN2A,58
NT5DC3,57
GRIN2B,54
ABCC9,52
FOXD2,47
RGN,46
UBBP4,43
TAC1,38
ADAMTS18,38
KBTBD12,38
PABPC5,36
ZNF665,36
ANKRD30B,36
HOXC6,34
PRAME,34
CCR10,32
SIPA1,32
CBLN4,28
ZNF582,27
CETN1,27
TBX5,26
ZNF529,24
POM121L12,23
DNAH8,22
C9orf84,22
C19orf83,20
SFTA3,20
SNTG1,20
LYPD5,18
DRD5,18
CACNA1A,17
TNNT3,17
BARHL2,17
FOXB2,17
TACC2,16
NPFFR1,16
VPS4A,15
KCNC2,15
PCDHGA11,14
PCDH17,14
PTF1A,14
GAB4,14
HTR1B,13
ADAM30,12
MT1A,12
PCDHGB4,12
DIRC3,12
PCDHGB6,12
SIM1,11
BRDT,11
ZNF835,10
KCNAB3,10
ATP13A3,10
RP11-108K14.8,10
GHSR,10
TMEM132D,10
NOC2L,9
C18orf42,9
REC114,9
NLRP1,9
NKX1-1,9
MDGA2,9
NFIX,9
MTNR1B,9
GREB1,9
CTD-2587H24.4,9
ADCY8,8
OSR1,8
ZIK1,8
ZNF135,8
PNMAL1,8
HOXD12,8
HOXA5,7
DCAF12L1,7
ZBED9,7
ADAM33,7
NMBR,7
PBX1,7
PCDHGC4,7
HOXD9,7
BCL3,7
AVPR1A,7
CSGALNACT1,7
POU4F2,6
MARCH11,6
FAM135B,6
EXD3,6
FAM178B,6
CCM2L,6
C16orf90,5
GMIP,5
FIGLA,5
SLC35F4,5
SYCP1,5
ZNF761,5
KLHL17,5
DCDC2C,5
SLC25A2,5
NKAPL,5
WRAP73,5
HORMAD2,4
PEX5L,4
SCT,4
ALX4,4
USP44,4
PAPOLB,4
ZNF347,4
EPHX3,4
GCM2,4
SORCS1,4
ZNF43,4
BCAN,4
CCDC37,4
ZNF471,4
ZNF667,4
LDHAL6B,3
MAGEB1,3
ZCCHC13,3
MEI1,3
KRT7,3
HOXA10-HOXA9,3
ZNF568,3
AQPEP,3
SLC2A14,3
UPB1,3
ZNF577,3
C1orf141,3
SPAG6,3
CA3,3
THBS2,3
FTMT,3
ATP10A,3
SOX11,2
ADAMTS20,2
TEX28,2
C9orf129,2
ZNF732,2
TKTL1,2
ANKRD30BL,2
MGAT4D,2
CLDN11,2
CHAT,2
HEYL,2
LHX5,2
SKOR2,2
ZNF98,2
KHDRBS2,2
PHYHIPL,2
HOXA11,2
OTX2,2
ZNF132,2
SPHKAP,2
TBX4,2
HBQ1,2
PUS3,2
NEU4,2
SPSB4,2
CDO1,2
AL022328.1,1
FES,1
S1PR4,1
ZIC1,1
BRSK1,1
ZSCAN18,1
TEX101,1
PIEZO2,1
LA16c-306E5.2,1
DIRAS3,1
ZNF610,1
DES,1
NPTX2,1
BOLL,1
HLA-DPB1,1
GPRASP1,1
DGKZ,1
KCNE5,1
FAM153A,1
KCNA3,1
ZIM2,1
ZNF578,1
OLIG3,1
T,1
PSKH2,1
MSX1,1
MFSD7,1
DPP6,1
MAN2B1,1
LRRC72,1
FSD1,1
C11orf85,1
ZNF382,1
TDRD6,1
MAEL,1
NETO1,1
NCR3LG1,1
SLFN13,1
CRYGD,1
PALM,1
FAM155A,1
ZNF418,1
S100A10,1
GRHL3,1
