,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,NLRP4,NKAPL,PCDH17,NLRP4,GRM6,NLRP4,GRM6,NLRP4,NLRP4,NLRP4,NKAPL,NLRP4,NLRP4,GRM6,GRM6,NLRP4,NLRP4,NKAPL,NLRP4,FAM135B,FAM135B,NLRP4,HOXD12,GRM6,NLRP4,NLRP4,FAM135B,NLRP4,NLRP4,BRDT,NLRP4,RGS22,BOLL,FAM135B,GRM6,GRM6,NLRP4,NLRP4,NLRP4,NKAPL,GRM6,PCDH17,GRM6,ZNF578,C11orf85,NLRP4,NLRP4,PCDH17,FAM135B,FAM135B,NKX2-6,NKAPL,NLRP4,PCDH17,NLRP4,NLRP4,NLRP4,NLRP4,NLRP4,NKAPL,PCDH17,PCDH17,PCDH17,NLRP4,VSX1,NKAPL,FAM135B,NLRP4,FAM135B,PCDH17,GRM6,PCDH17,NKAPL,NLRP4,GRM6,NLRP4,FAM135B,FAM135B,CCDC181,NLRP4,VSX1,GRM6,NLRP4,FAM135B,NLRP4,ZNF132,NLRP4,FAM135B,FAM135B,PCDH17,PCDH17,NMBR,NLRP4,NLRP4,NLRP4,NLRP4,RGS22,NKAPL,NKAPL,NLRP4
1,GRM6,VSX1,NLRP4,NKAPL,FAM135B,VSX1,NLRP4,PCDH17,PCDH17,ZNF132,NLRP4,GRM6,GRM6,NLRP4,NLRP4,PCDH17,RGS22,NLRP4,PCDH17,PCDH17,NLRP4,GRM6,NLRP4,FAM135B,GRM6,GRM6,GRM6,NKAPL,GRM6,NLRP4,PCDH17,NLRP4,RGS22,ABCC9,NLRP4,NLRP4,VSX1,PCDH17,PCDH17,GRM6,FAM135B,NKAPL,NLRP4,FOXR1,GRM6,NKAPL,HOXD12,NLRP4,ADAMTS20,NLRP4,HAS1,NLRP4,FAM135B,NLRP4,NKAPL,GRM6,PCDH17,PCDH17,HOXD9,NLRP4,PCDHGC4,NLRP4,NLRP4,VSX1,NKAPL,ADAMTS20,GRM6,PCDH17,GRM6,NKAPL,FAM135B,VSX1,RGS22,NKAPL,NLRP4,SCT,GRM6,GRM6,ZNF132,VSX1,NLRP4,NLRP4,PCDH17,NLRP4,PCDH17,NKAPL,HAS1,NKAPL,ADAMTS20,HOXD12,NLRP4,NLRP4,ZNF578,GRM6,GRM6,FAM135B,PCDH17,FAM135B,NLRP4,GRM6
2,RGS22,GRM6,HOXD12,PCDH17,NKAPL,FAM135B,NKAPL,FAM135B,EOMES,PCDH17,PCDH17,FOXR1,NKAPL,PCDH17,FAM135B,HOXD12,GRM6,PCDH17,NKAPL,GRM6,HOXD9,FAM135B,PCDH17,NLRP4,FAM135B,PCDHGC4,BOLL,RGS22,PCDH17,PCDH17,HOXD9,FAM135B,NLRP4,BOLL,BCL3,HOXD12,FAM135B,BRDT,NKAPL,RGS22,NLRP4,RGS22,FAM135B,FAM135B,NKAPL,RGS22,FAM135B,GRM6,NLRP4,PCDH17,PCDHGC4,RGS22,BOLL,NKAPL,ZNF578,HOXD12,RGS22,GRM6,FAM135B,RGS22,NKAPL,NKAPL,NKAPL,PCDH17,NLRP4,NLRP4,VSX1,NKAPL,HAS1,NLRP4,PCDH17,HOXD12,NLRP4,GRM6,FAM135B,PCDH17,VSX1,NLRP4,PCDH17,SIM1,GRM6,ZNF578,FAM135B,GRM6,ZNF578,ZNF578,PCDH17,GRM6,HOXD9,GRM6,FAM135B,HOXD12,PCDH17,FAM135B,BRDT,GRM6,NLRP4,NLRP4,HOXD12,NKAPL
3,NKAPL,SPHKAP,BRDT,C9orf84,NLRP4,PCDH17,PCDH17,HOXD9,NKAPL,ZNF578,GRM6,RGS22,PCDH17,RGS22,VSX1,HOXD9,HAS1,ADAMTS20,RGS22,ZNF578,PCDH17,NMBR,HOXD9,PIK3R5,PCDH17,BOLL,PCDH17,DRD5,SIM1,NKAPL,NLRP1,PCDH17,GRM6,GRM6,PRAME,BRDT,PCDH17,GRM6,GRM6,NLRP4,VSX1,ZNF132,BOLL,NLRP4,NLRP4,NMBR,GRM6,FAM135B,ZNF578,GRM6,NLRP4,ZNF132,HOXD9,FAM135B,GRM6,NKAPL,GRM6,NKAPL,ZNF578,PCDH17,NMBR,FAM135B,FAM135B,NKAPL,GRM6,RGS22,NKAPL,GRM6,NKAPL,HOXD9,RGS22,NLRP4,PCDH17,PCDH17,HAS1,RGS22,BOLL,ZNF578,NLRP4,GRM6,PCDH17,PCDH17,GRM6,PCDH17,NKAPL,TMEM132D,GRM6,PCDH17,ZNF578,NLRP4,HAS1,PCDH17,RGS22,PCDH17,FAM135B,NKAPL,NKAPL,HOXD9,VSX1,VSX1
4,PCDH17,NLRP4,HAS1,GRM6,BOLL,NKX2-6,HAS1,GRM6,HOXD12,GRM6,VSX1,PCDH17,ADAMTS20,NKAPL,ZNF132,GRM6,FAM135B,GRM6,HOXD9,VSX1,BOLL,HAS1,ZNF578,PCDH17,NKAPL,PCDH17,RGS22,GRM6,HAS1,RGS22,NKAPL,ZNF578,FAM135B,KCNC2,PCDH17,HAS1,NKAPL,NKAPL,GPR75,HAS1,PCDH17,NLRP4,VSX1,PCDH17,PCDH17,GRM6,PCDH17,VSX1,PCDH17,ZNF132,BOLL,FSIP2,NKAPL,CCDC181,RGS22,HAS1,BOLL,RGS22,PCDH17,GRM6,CCDC181,MEI1,BOLL,GRM6,SIM1,PCDH17,NLRP4,RGS22,ADAMTS20,FAM135B,NLRP4,NKAPL,FSIP2,VSX1,ADAMTS20,ZNF578,PCDH17,VSX1,PCDHGC4,ZNF578,ZNF578,ZNF132,BOLL,FOXR1,NMBR,GRM6,HOXD9,SLC25A2,FOXR1,TMEM132D,FOXR1,FAM135B,HAS1,ZNF578,SIM1,PCDH17,GRM6,BOLL,GRM6,RGS22
5,HOXD12,PCDH17,NKAPL,VSX1,BRDT,NKAPL,FAM135B,VSX1,VSX1,FAM135B,RGS22,NKAPL,FAM135B,CDO1,HOXD12,HAS1,PCDH17,MDGA2,VSX1,NLRP4,HOXD12,PCDH17,VSX1,FOXR1,FOXR1,FAM135B,NLRP4,PCDH17,NKAPL,FAM135B,ALX4,HAS1,PCDH17,AVPR1A,VSX1,NKAPL,ADAMTS20,VSX1,BOLL,PCDH17,ADAMTS20,ZBED9,HAS1,HAS1,HOXD12,PCDH17,RGS22,RGS22,HOXD9,RGS22,FOXD2,PCDH17,GRM6,RGS22,NMBR,VSX1,HOXA11,HOXD12,HAS1,FAM135B,GRM6,ADAMTS20,GRM6,FAM135B,FAM135B,BRDT,BOLL,FSIP2,BOLL,BOLL,ZNF578,GRM6,ZNF132,ZNF578,NKAPL,HAS1,NLRP4,ZNF471,HAS1,PCDH17,FAM135B,HOXD9,RGS22,BOLL,HAS1,HAS1,FAM135B,NLRP4,PCDH17,SYCP1,BOLL,NKAPL,HOXD9,BOLL,PCDH17,VSX1,ZNF578,ZNF578,DERL3,SFTA3
6,HAS1,FAM135B,SYCP1,HOXD12,MFSD7,SPHKAP,HOXD12,CBLN4,GRM6,RGS22,DRD5,HAS1,VSX1,FAM135B,NKAPL,FAM135B,HOXD12,VSX1,GRM6,BRDT,RGS22,ZNF132,RGS22,BRDT,BRDT,NKAPL,VSX1,BRDT,VSX1,ZNF578,RGS22,SCT,VSX1,NLRP4,BRDT,FOXR1,CCDC181,EOMES,RGS22,FAM135B,BOLL,MEI1,ADAMTS20,ADAMTS20,RGS22,ABCC9,HAS1,ZNF578,NKAPL,NMBR,NKAPL,SFTA3,PCDH17,GRM6,FSIP2,RGS22,HAS1,FAM135B,ZNF132,CCDC181,NLRP4,PCDHGB6,VSX1,SIM1,PCDH17,HAS1,ZNF578,HOXD12,HOXD12,HOXD12,NKAPL,ADAMTS20,GRM6,SLC25A2,BARHL2,PCDHGC4,RGS22,RGS22,FAM135B,NFIX,POU4F2,HAS1,ADAMTS20,HOXD12,SLC25A2,NLRP4,NKAPL,ABCC9,NMBR,NKAPL,ZNF132,GRM6,ADAMTS20,HOXD12,HAS1,ADAMTS20,HOXD12,TMEM132D,PCDH17,HOXD9
7,VSX1,FOXD2,GRM6,ZNF578,VSX1,BRDT,RGS22,ZNF578,HAS1,PCDHGC4,FAM135B,PCDHGC4,RGS22,SIM1,BOLL,NKAPL,BOLL,HOXD9,HOXD12,HOXD12,ZNF578,HOXD9,BOLL,NKAPL,HOXD9,HAS1,HOXD12,C11orf85,PNMAL1,BOLL,HOXD12,HOXD12,HOXD12,HOXD12,HOXD12,ZNF578,RGS22,ZNF578,HOXD12,FSIP2,ZNF667,ZNF578,PCDHGC4,BOLL,BRDT,DRD5,NKAPL,BRDT,VSX1,HAS1,GRM6,GRM6,TAC1,ZNF578,HAS1,PCDH17,FAM135B,PCDHGC4,ADAMTS20,VSX1,VSX1,HAS1,HAS1,ZNF578,ZNF578,ZBED9,NPTX2,HAS1,RGS22,NMBR,ZNF132,PCDHGB6,FAM135B,PCDHGA11,HOXD12,VSX1,NKAPL,HAS1,BARHL2,ADAMTS20,NKAPL,FAM135B,HOXD9,NKAPL,FAM135B,PABPC5,RGS22,BOLL,NLRP4,VSX1,ZNF578,NKX2-6,NKAPL,NKAPL,HOXD12,BOLL,C11orf85,ADAMTS20,FAM135B,PCDH17
8,ZNF578,PCDHGA11,ZNF578,BRDT,PCDH17,ADAMTS20,VSX1,ADAMTS20,FAM135B,BRDT,NLRP1,VSX1,HAS1,BRDT,ZNF578,TMEM132D,NKAPL,FAM135B,FSIP2,BOLL,SIM1,NKAPL,HAS1,RGS22,BOLL,CHAT,ZNF132,VSX1,ABCC9,HAS1,GRM6,NKAPL,PCDHGC4,VSX1,ZNF578,PCDH17,BOLL,GPR75,DRD5,BOLL,TAC1,FAM135B,CHAT,TMEM132D,ZNF454,HAS1,ZNF578,ZNF454,PCDHGC4,NKAPL,CHAT,DERL3,BRDT,VSX1,PCDH17,GPR75,NKAPL,COX8C,NMBR,BARHL2,RGS22,HOXD12,BRDT,HOXD9,MARCH11,HOXD9,PCDH17,ABCC9,VSX1,RGS22,ZBED9,C11orf85,HAS1,HAS1,SPHKAP,NMBR,ADAMTS20,BRDT,ZNF578,BRDT,ABCC9,NKAPL,CCDC181,RGS22,HOXD9,FAM135B,VSX1,ZNF578,SPHKAP,FAM135B,NKAPL,RGS22,ZNF132,RGS22,VSX1,HOXD9,FAM135B,PCDH17,ZNF578,SOX11
9,FAM135B,ADAMTS20,FAM135B,RGS22,TMEM132D,RGS22,MDGA2,PRAME,ZNF132,NKAPL,PCDHGC4,HOXD12,ZNF578,HAS1,HAS1,C11orf85,KBTBD12,RGS22,PCDHGC4,HOXD9,HAS1,ADAMTS20,ADAMTS20,BOLL,ADAMTS20,VSX1,NKAPL,ZNF578,RGS22,GRM6,PCDHGC4,BRDT,ZBED9,PCDH17,FAM135B,FAM135B,ABCC9,FAM135B,HAS1,HOXD12,HAS1,BOLL,CBLN4,CBLN4,VSX1,PCDHGC4,ZBED9,POM121L12,GRM6,BOLL,FAM135B,FAM135B,BARHL2,NFIX,FAM135B,HOXD9,SIM1,HAS1,HOXD12,C11orf85,HAS1,RGS22,RGS22,CBLN4,BOLL,FAM135B,ADAMTS20,BARHL2,ZBED9,HOXA11,EOMES,FAM135B,HOXD9,HOXD9,HOXD9,NKAPL,GRIN2B,CBLN4,RGS22,HOXA11,HOXD12,NLRP1,NKAPL,HOXD9,PCDHGB4,ADAMTS20,MDGA2,TMEM132D,ZBED9,SLC25A2,RGS22,CHAT,CBLN4,HAS1,CCDC181,HOXA11,FTMT,FSIP2,RGS22,SIM1
