,0
AKAP12,100
SH3BGRL2,100
CAB39L,100
DCN,100
EHD2,100
OGN,100
LYVE1,100
CAVIN2,100
SPTAN1,100
CAVIN1,100
PID1,100
ASPA,100
MGLL,99
MMP14,99
ALB,99
ITIH5,99
VIT,98
RECK,98
ADH4,98
SELENBP1,97
ADH1B,97
SOD3,97
SPTBN1,97
SERPINC1,96
CDC27,96
PODN,96
HSPA12B,96
HPX,96
TF,96
DPT,96
CYP4F12,96
KRT74,94
BCKDHA,94
TNXB,94
TMOD2,93
TNS2,92
LUM,91
KRT13,91
TOP1,91
SSC5D,90
GTPBP4,90
NSUN2,90
AHSG,90
MAPK3,89
SCARA5,89
ABLIM1,89
MINDY1,88
CFD,88
ATP6V1C1,88
PRELP,87
CD34,85
IL33,84
APPL1,82
KRT4,82
MYBBP1A,80
ADAR,79
SCIN,79
ANK2,79
MMRN2,78
GSTM5,78
AGT,75
C2orf54,75
NFIA,73
SORBS2,72
OLFML1,72
SERPINA1,71
ADD3,71
ABCA8,71
SORBS3,70
CRNN,65
TUB,65
PTN,64
SERPINA6,63
GFRA1,60
FNDC3B,59
COLGALT1,58
SUOX,56
GPT2,56
SASH1,54
SERPINA7,53
DDAH2,53
STAT2,52
CBFB,52
ALDH9A1,51
NOSTRIN,50
RBM15,49
TPPP,47
BTD,45
SERPINA3,44
RBSN,44
MAOB,43
SPINK5,43
ABI3BP,43
TTR,42
CNRIP1,42
PTK7,41
GC,41
NOP2,40
EMILIN3,40
CRTAP,37
COL28A1,36
UACA,36
PLOD1,36
CTNNBL1,36
THSD7A,35
KNG1,34
PLAU,33
MYO9B,32
PADI1,32
UTRN,32
SERPING1,32
RAB5B,31
PHYHD1,31
ORM2,31
DPYSL2,30
DIAPH2,30
ALDH6A1,29
ADD1,29
PCCB,29
MYO1B,28
CP,27
CLEC3B,26
ACPP,26
PCCA,26
MACF1,26
SYTL4,25
KANK2,25
GPX3,25
PFKFB3,24
ATXN2L,24
CNN2,23
CLCNKA,23
ADIRF,22
PTPRS,22
ANKRD35,22
NFIX,22
NCBP1,19
PGM5,19
VSIG10L,19
A1BG,19
GNG11,18
LIMS2,18
SUCLG2,18
SH3PXD2B,17
CLCA4,17
TMPRSS11B,17
HYI,16
PLOD3,16
FKBP9,16
ALDH2,16
SERPIND1,15
PTPN2,14
ACAD8,14
CAPN14,14
PBX1,14
SLC38A1,13
CLYBL,13
TFPI,13
PLEKHA6,13
ARID3A,13
TTYH3,13
L1CAM,12
PRPH,12
SERPINF2,11
C3,11
EIF2AK2,11
NDE1,11
MMRN1,11
IGF2R,10
ABHD14B,10
LUZP1,10
HSD17B10,10
NCBP2,9
TREM1,9
MTURN,9
SBSPON,9
TRIP10,9
CFB,9
LMOD1,9
SNCG,9
PRKDC,9
IKBIP,9
TNS1,9
ECHS1,9
EPHX2,9
ADAMTSL5,9
APOA2,9
EBF1,8
SUCLG1,8
PTGDS,8
CAPN5,8
MYOC,8
AMBP,8
COL18A1,8
CADM3,8
PLCB1,7
AIF1L,7
ATP13A4,7
CORO2B,7
SLC16A7,7
CFI,7
AHNAK,7
HOPX,7
PLEKHA7,7
CRLF1,6
PTPN1,6
APOD,6
DHRS11,6
BCKDHB,6
KIAA1211L,6
NEMP1,6
GREM2,6
NT5C,6
PPL,6
PTPN12,6
PARP12,5
ASPG,5
GTF2E2,5
ZC3HAV1,5
ITIH4,5
UBXN6,5
CDK11B,5
APOF,5
GGT6,5
BDH2,5
HSD17B8,5
COL14A1,5
ADAMTS2,5
P3H1,5
ALDH1L1,5
PRSS27,5
MAMDC2,4
CRIP2,4
AGFG2,4
GBP6,4
MAGI1,4
FAM49B,4
SULT1A4,4
C1RL,4
KLK11,4
ADH1C,4
GOLIM4,4
ALDH1A2,4
BLVRB,4
MTHFD1L,4
HECW2,4
PEBP1,4
LRG1,4
APOB,4
ALDH1A1,4
ADH1A,3
ATP6V0A4,3
PDE2A,3
CPSF1,3
GIPC2,3
MAGOHB,3
PALM,3
KBTBD11,3
FBLIM1,3
MYO1C,3
ATRN,3
MRGPRF,3
FETUB,3
MFAP5,3
COL15A1,3
MFAP4,3
KRT78,3
ALAD,3
RPL7L1,2
PRRC2C,2
MYH9,2
A2M,2
MAGI3,2
MUC21,2
BICDL2,2
MTMR10,2
TTC39A,2
TNFRSF12A,2
COL12A1,2
SHMT1,2
SERPINH1,2
OSBPL3,2
SOAT1,2
MCMBP,2
NRBF2,2
PES1,2
PRDX2,2
SULT6B1,2
SMCHD1,2
S100B,2
CAPNS1,2
ARHGEF1,2
RNF213,2
DAPL1,2
P4HA1,2
RAD51B,2
S100A4,2
CA5B,2
PPP1R18,2
AZGP1,2
ACKR1,2
DNAJB11,2
ZFYVE21,2
SMARCA5,2
TGM3,1
C1orf123,1
PPAN-P2RY11,1
EVPL,1
PLEKHG2,1
SENP5,1
PARP14,1
ITGAX,1
PARD3B,1
IFI16,1
WDR12,1
TOM1L2,1
PHLDB2,1
PITX1,1
ARHGEF10L,1
YTHDF3,1
CHD2,1
RBM14,1
SRPX,1
HRG,1
FHL5,1
FUT6,1
TSR1,1
IFI35,1
APOA1,1
LPCAT1,1
HDHD2,1
CPSF4,1
ORM1,1
ADPGK,1
GPD1L,1
UTP4,1
WDR18,1
FGF2,1
ADIPOQ,1
U2SURP,1
SH3GLB2,1
AKR7A2,1
TJP1,1
SELP,1
VAT1L,1
SULF1,1
PYURF,1
APP,1
SNCA,1
NUDCD1,1
SRPK2,1
PRKAR2B,1
OXSM,1
TTC22,1
AK3,1
GLOD4,1
ACADSB,1
VIM,1
FSCN1,1
LGI4,1
BAX,1
STXBP3,1
S100A10,1
GNB1,1
FYCO1,1
CRYL1,1
CD276,1
FAM3B,1
HEBP2,1
CHPF2,1
RNF144A,1
TXN2,1
TAP2,1
HAAO,1
ETFDH,1
OGFR,1
SFPQ,1
FAM98C,1
ADGRG6,1
