,0
ADH4,97
SH3BGRL2,90
SCIN,78
PID1,73
CYP4F12,69
ADAR,67
HPX,66
CAVIN2,61
KRT13,61
C2orf54,60
SERPINA6,59
ADH1B,54
SERPINA1,49
STAT2,46
IL33,42
FNDC3B,38
GTPBP4,34
UACA,34
ATP6V1C1,31
BCKDHA,31
GFRA1,30
GPT2,29
EHD2,29
CAB39L,26
ORM2,26
PADI1,26
GSTM5,25
AGT,25
SPTAN1,23
LYVE1,22
EMILIN3,21
CP,21
SYTL4,20
MINDY1,20
NFIA,17
SCARA5,16
TOP1,16
ACPP,16
MYO9B,16
AHSG,14
NOSTRIN,14
SLC38A1,13
MYBBP1A,12
MGLL,12
PHYHD1,12
ASPA,12
ADIRF,11
MMRN1,11
CRNN,10
KRT4,9
OGN,9
MMP14,9
DIAPH2,8
PBX1,8
EPHX2,8
SERPINA3,7
COL28A1,7
C3,7
KRT74,7
PLEKHA7,6
A1BG,6
VIT,6
CLCNKA,6
CAPN5,6
ALDH9A1,6
NEMP1,6
CLCA4,6
GREM2,5
SASH1,5
PTN,5
ATP13A4,5
SERPINA7,5
ARID3A,5
ITIH5,5
MMRN2,5
APOD,4
APOB,4
SELENBP1,4
PFKFB3,4
PTPRS,4
CAVIN1,4
SERPING1,4
MAGI1,4
SERPINC1,4
KLK11,4
TFPI,4
PODN,4
LRG1,4
TPPP,4
AKAP12,3
COL14A1,3
MAPK3,3
SORBS3,3
ASPG,3
APOF,3
TTR,3
THSD7A,3
KIAA1211L,2
HECW2,2
HOPX,2
RNF213,2
CTNNBL1,2
EIF2AK2,2
SPTBN1,2
TUB,2
SULT6B1,2
A2M,2
SSC5D,2
TTC39A,2
CBFB,2
AZGP1,2
ADH1C,2
PLEKHA6,2
OSBPL3,2
CFB,2
TMOD2,2
SH3PXD2B,2
TNS2,2
SPINK5,2
ANKRD35,2
KNG1,2
GGT6,1
GBP6,1
TJP1,1
PRDX2,1
AGFG2,1
SULF1,1
COL18A1,1
ORM1,1
SRPX,1
ALAD,1
ADPGK,1
MRGPRF,1
HYI,1
SENP5,1
PARP14,1
APOA2,1
PPL,1
SNCA,1
FAM49B,1
MAMDC2,1
PARD3B,1
ITGAX,1
PPP1R18,1
PRPH,1
SHMT1,1
RECK,1
MTMR10,1
CD34,1
ADH1A,1
MFAP4,1
PCCB,1
ADAMTS2,1
SOD3,1
MYO1B,1
TNFRSF12A,1
CADM3,1
TNXB,1
VSIG10L,1
GIPC2,1
ATP6V0A4,1
SLC16A7,1
ADD3,1
CNRIP1,1
NDE1,1
PLCB1,1
CDC27,1
PTPN1,1
OGFR,1
ADGRG6,1
ALDH1A1,1
BTD,1
ALDH1A2,1
