,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,EHD2,CAB39L,CAB39L,CAB39L,CAB39L,SPTAN1,CAB39L,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,CAVIN2,SH3BGRL2,CAB39L,CAB39L,PID1,SH3BGRL2,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,LYVE1,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,EHD2,SH3BGRL2
1,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAVIN2,SPTAN1,SPTAN1,SH3BGRL2,CAB39L,EHD2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SPTAN1,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,PID1,CAVIN2,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,SH3BGRL2,SPTAN1,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,SH3BGRL2,CAB39L,CAB39L,SPTAN1,SH3BGRL2,CAB39L,SH3BGRL2,CAB39L
2,EHD2,ASPA,CAVIN2,LYVE1,SPTAN1,CAVIN2,CAVIN2,EHD2,CAVIN2,CAVIN2,CAB39L,EHD2,ASPA,CAVIN2,LYVE1,SH3BGRL2,SH3BGRL2,CAB39L,OGN,ASPA,EHD2,CAB39L,EHD2,PID1,ASPA,PID1,ASPA,CAVIN2,CAVIN2,CAVIN2,OGN,CAVIN2,CAVIN2,ASPA,EHD2,PID1,PID1,SPTAN1,SH3BGRL2,SPTAN1,CAVIN2,PID1,EHD2,CAVIN2,PID1,CAVIN2,EHD2,ASPA,PID1,ASPA,ASPA,EHD2,ASPA,CAVIN2,EHD2,CAVIN2,ASPA,SPTAN1,SH3BGRL2,CAB39L,EHD2,CAVIN2,OGN,ASPA,EHD2,PID1,SPTAN1,CAVIN2,EHD2,AKAP12,ASPA,EHD2,PID1,SPTAN1,ASPA,LYVE1,PID1,ASPA,EHD2,ASPA,CAVIN2,CAVIN2,CAVIN2,ASPA,EHD2,CAVIN2,CAB39L,ASPA,ASPA,EHD2,CAVIN2,PID1,CAVIN2,ASPA,CAVIN2,SH3BGRL2,SPTAN1,CAVIN2,LYVE1,ASPA
3,CAVIN2,LYVE1,SPTAN1,ASPA,CAVIN2,SPTAN1,ASPA,LYVE1,ASPA,LYVE1,SORBS3,LYVE1,SPTAN1,ASPA,ASPA,CAVIN2,SPTAN1,PID1,SH3BGRL2,CAVIN2,ASPA,CAVIN2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,ADH4,ASPA,ASPA,ASPA,SPTAN1,ASPA,CAVIN2,CAVIN2,ASPA,LYVE1,PID1,CAVIN2,CAVIN2,ASPA,LYVE1,CAVIN2,ASPA,CAVIN2,SPTAN1,SH3BGRL2,EHD2,CAVIN2,CAVIN2,CAB39L,ASPA,SPTAN1,ASPA,CAVIN2,ASPA,CAVIN2,PID1,ASPA,EHD2,ASPA,ASPA,ASPA,OGN,CAVIN2,EHD2,LYVE1,SPTAN1,CAVIN2,SERPINC1,SPTAN1,CAVIN2,CAVIN2,MMP14,CAVIN2,CAVIN2,LYVE1,LYVE1,CAVIN2,PID1,ASPA,EHD2,ASPA,LYVE1,CAVIN2,SPTAN1,ASPA,CAVIN2,CAVIN2,CAVIN2,ASPA,SPTAN1,ASPA,CAVIN2,SPTAN1,PID1,CAVIN2,ASPA,CAB39L,SERPINC1
4,SERPINC1,CAVIN2,ASPA,CAVIN2,ASPA,ASPA,ADH4,CAVIN2,DCN,SPTAN1,CAVIN2,CAVIN2,OGN,LYVE1,CAVIN2,ASPA,PID1,CAVIN2,PID1,SPTAN1,LYVE1,ASPA,ASPA,LYVE1,EHD2,SPTAN1,LYVE1,LYVE1,SPTAN1,LYVE1,CAVIN2,PID1,EHD2,EHD2,ASPA,CAVIN2,CAVIN2,CAVIN2,ASPA,ASPA,EHD2,DPT,ASPA,PID1,SPTAN1,ASPA,SPTAN1,CAVIN2,ASPA,OGN,SPTAN1,CAVIN2,CAVIN2,SPTAN1,SPTAN1,SPTAN1,SPTAN1,CAVIN2,SPTAN1,ASPA,CAVIN2,EHD2,PID1,PID1,ASPA,CAVIN2,CAVIN2,EHD2,ASPA,PID1,MMP14,ASPA,ASPA,ASPA,PID1,ASPA,ASPA,CAVIN2,ASPA,CAVIN2,PID1,HPX,EHD2,ADH4,ASPA,PID1,HPX,ADH4,LYVE1,SPTAN1,PID1,ASPA,SPTAN1,EHD2,TOP1,ASPA,LYVE1,SPTAN1,CAVIN2,SPTAN1
5,LYVE1,SPTAN1,LYVE1,EHD2,PID1,EHD2,EHD2,ASPA,SPTAN1,ASPA,PID1,ASPA,CAVIN2,EHD2,EHD2,EHD2,EHD2,ASPA,CAVIN2,EHD2,CAVIN2,CAVIN1,PID1,ASPA,PID1,ASPA,EHD2,EHD2,EHD2,OGN,SPTAN1,ASPA,SPTAN1,SPTAN1,CAVIN1,LYVE1,ASPA,ASPA,MMP14,EHD2,LYVE1,CAVIN2,SPTAN1,EHD2,ASPA,EHD2,PID1,PID1,SPTAN1,LYVE1,CAVIN2,SPTAN1,CDC27,EHD2,ASPA,OGN,EHD2,LYVE1,CAVIN2,SPTAN1,CDC27,SPTAN1,CAVIN2,CAVIN2,SPTAN1,ASPA,ASPA,LYVE1,SPTAN1,OGN,CAVIN2,SPTAN1,OGN,CAVIN2,SH3BGRL2,DCN,CAVIN2,OGN,PID1,EHD2,CDC27,SPTAN1,SPTAN1,CAVIN2,SPTAN1,ASPA,OGN,SPTAN1,OGN,ASPA,LYVE1,LYVE1,EHD2,LYVE1,EHD2,CAVIN2,ASPA,OGN,CAVIN1,LYVE1
6,AGT,PID1,OGN,SPTAN1,EHD2,PID1,SPTAN1,PID1,EHD2,PID1,ASPA,SPTAN1,EHD2,PID1,OGN,PID1,ASPA,EHD2,ASPA,GTPBP4,SPTAN1,SPTAN1,SPTAN1,EHD2,SPTAN1,SERPINC1,SPTAN1,ASPA,PID1,SPTAN1,PID1,OGN,PID1,OGN,SPTAN1,SPTAN1,EHD2,LYVE1,PID1,PID1,PID1,ASPA,LYVE1,SPTAN1,OGN,PID1,ASPA,LYVE1,EHD2,VIT,EHD2,SERPINC1,PID1,PID1,PID1,PID1,PID1,MGLL,EHD2,ITIH5,SPTAN1,OGN,LYVE1,SPTAN1,LYVE1,SPTAN1,MGLL,ASPA,PID1,ASPA,EHD2,PID1,SPTAN1,MGLL,LYVE1,SPTAN1,EHD2,EHD2,SPTAN1,SPTAN1,EHD2,LYVE1,PID1,OGN,OGN,EHD2,CAVIN2,DCN,PID1,CAVIN1,EHD2,CAVIN2,PID1,SPTAN1,ASPA,EHD2,CYP4F12,SPTBN1,ASPA,CAVIN2
7,SPTAN1,SERPINA1,KRT74,PID1,CYP4F12,CAVIN1,PID1,SPTAN1,PID1,EHD2,SPTAN1,PID1,PID1,OGN,SPTAN1,LYVE1,TNXB,CDC27,HSPA12B,PID1,PID1,CDC27,HSPA12B,CAVIN1,LYVE1,ADAR,OGN,SPTAN1,SPTBN1,EHD2,EHD2,EHD2,LYVE1,PID1,LYVE1,EHD2,SPTAN1,AKAP12,SPTBN1,LYVE1,ADH4,OGN,PID1,CDC27,LYVE1,LYVE1,CAVIN1,SPTAN1,LYVE1,SPTAN1,SPTBN1,HPX,SERPINC1,AKAP12,ITIH5,EHD2,LYVE1,ASPA,MYBBP1A,TUB,AKAP12,CDC27,SPTAN1,LYVE1,PID1,SOD3,EHD2,OGN,CDC27,SPTAN1,SOD3,DCN,IL33,CDC27,EHD2,PID1,SPTAN1,SPTAN1,LYVE1,LYVE1,CYP4F12,ASPA,LYVE1,CDC27,SPTBN1,LYVE1,PID1,EHD2,EHD2,SERPINC1,DCN,CAVIN1,LYVE1,PID1,HSPA12B,CYP4F12,EHD2,EHD2,SPTAN1,HPX
8,ASPA,EHD2,EHD2,HPX,SCARA5,LYVE1,LYVE1,HPX,CYP4F12,CDC27,TNXB,HPX,LYVE1,SPTAN1,PID1,OGN,NSUN2,LYVE1,LYVE1,OGN,ATP6V1C1,PID1,CAVIN1,SPTAN1,CDC27,HPX,PID1,PID1,LYVE1,PID1,PODN,DCN,MMP14,LYVE1,PID1,CAVIN1,HPX,MGLL,CDC27,CDC27,SPTAN1,GTPBP4,SPTBN1,LYVE1,EHD2,ALB,ITIH5,ADH1B,DCN,EHD2,ALB,PID1,EHD2,LYVE1,LYVE1,LYVE1,CAVIN1,EHD2,LYVE1,PID1,PID1,PID1,EHD2,MMP14,CAVIN1,LYVE1,PID1,PID1,LYVE1,TF,PID1,BCKDHA,EHD2,ITIH5,OGN,HPX,SPTBN1,PID1,AKAP12,AKAP12,BCKDHA,PID1,OGN,EHD2,SERPINC1,AKAP12,EHD2,PID1,SPTBN1,HPX,SPTAN1,EHD2,OGN,OGN,MAPK3,MMP14,PID1,LYVE1,HPX,EHD2
9,HPX,HPX,HSPA12B,ADH4,LYVE1,CD34,CDC27,OGN,LYVE1,GTPBP4,SPTBN1,CAVIN1,CFD,CAVIN1,DPT,GTPBP4,ITIH5,VIT,EHD2,LYVE1,DCN,LYVE1,LYVE1,ADH4,OGN,EHD2,MGLL,HPX,CAVIN1,SELENBP1,LYVE1,LYVE1,ITIH5,CDC27,SPTBN1,NFIA,OGN,OGN,KRT74,SPTBN1,CDC27,DCN,ADH4,DCN,MMP14,SERPINC1,KRT74,CYP4F12,OGN,MMP14,TMOD2,LYVE1,HPX,RECK,OGN,AKAP12,ADH4,HSPA12B,OGN,TNXB,LYVE1,LYVE1,SCARA5,DCN,PODN,SELENBP1,CDC27,CAVIN1,CYP4F12,LYVE1,CDC27,CDC27,LYVE1,EHD2,CAVIN1,MMP14,HPX,SELENBP1,CAVIN1,DCN,SPTAN1,SERPINC1,MMP14,PID1,ITIH5,TNXB,SPTAN1,LYVE1,SPTAN1,LYVE1,RECK,MGLL,CDC27,ADH4,TNXB,LYVE1,MGLL,ALB,MAPK3,PID1
