,0
ANLN,100
TTR,100
TP53INP2,100
MAGI3,100
TJP1,100
PGLS,100
ADD1,100
TRPM6,100
CFI,100
SNX7,100
CRNN,100
MYO9B,100
KIAA1211L,100
ARHGAP10,100
PLCD1,100
KIDINS220,100
CENPH,100
ANK2,100
TPPP,100
TNS2,100
ABLIM1,100
SNX15,100
MINDY1,100
EBF1,100
ZBTB16,100
SERPIND1,100
PREX2,100
FGD6,100
AKAP12,100
MEOX2,100
GAP43,100
PLEKHA7,100
FETUB,100
ITIH2,100
APPL1,100
EIF4EBP3,100
VPS72,100
COG5,100
CDC25B,100
SORBS2,100
PRPH,100
OSR1,100
MCF2L,100
PDLIM2,100
PURA,100
HACE1,100
LUM,100
CNOT10,100
F9,100
RBSN,100
KCTD5,100
CPEB3,100
FAS,100
PLEKHA6,100
MUC21,100
PRKG1,100
ARHGAP20,100
ALDH1A1,100
GPS1,100
COL14A1,100
MYRIP,100
PGM5,100
UTRN,100
LMOD1,100
PCDH1,100
JUND,100
SORBS1,100
SLC33A1,100
ZNF532,100
PRRC2C,100
AKT2,100
NDE1,100
DLC1,100
PRRC2B,100
TSC22D3,100
MAP6,100
DLG3,100
PRX,100
BCAS1,100
STAB2,100
EML4,100
TH,100
COA5,100
AQP1,100
ARHGEF10L,100
EVPL,100
CLPTM1,100
EIPR1,100
LPIN1,100
PAX9,100
LDB2,100
PKN3,100
TTYH3,100
PRKAG2,100
FNDC3B,100
KLC2,100
PPP1R1C,100
OTUD4,100
SHROOM3,100
ATP5PO,100
C16orf86,100
FMNL2,100
C5AR1,100
NUFIP2,100
TYRO3,100
HSPH1,100
MYH9,100
MAPK3,100
FSCN1,100
UBQLN1,100
APOB,100
ERBB2,100
OSBPL3,100
GNG12,100
ZFAND2B,100
GMPS,100
CALHM5,100
KRT17,100
SOCS6,100
LIPE,100
ANKRD35,100
RASIP1,100
NFIL3,100
FAM129B,100
ZBTB7B,100
WNK4,100
AMPH,100
TALDO1,100
POP1,100
CGNL1,100
TRIOBP,100
NRIP2,100
HELZ,100
TNXB,100
SHE,100
CD274,100
STAT2,100
TFEB,100
CSNK2A2,100
MPST,100
MACF1,100
ZNF362,100
KALRN,100
ANXA1,100
CSTA,100
FNIP2,100
CLDN5,100
DAPL1,100
CDK9,100
PLCB4,100
FOXO4,100
MCPH1,100
PDE2A,100
LNX1,100
PPL,100
PRRC2A,100
CNKSR3,100
P3H3,100
CHPF2,100
MARCKSL1,100
NDRG2,100
PEBP1,100
ZC3HAV1,100
RPS6KA3,100
HMGXB3,100
SELENOP,100
ALDH9A1,100
UBE2M,100
LIFR,100
APOL1,100
RBM15,100
VCPIP1,100
NFIC,100
C3,100
CDH11,100
CKAP2,100
PACSIN2,100
MYOC,100
TMEM100,100
TRIP10,100
EPN1,100
PARD3B,100
CBLB,100
CSNK1A1,100
SPRR3,100
TJP3,100
N4BP3,100
MORC2,100
KIF26B,100
CAPN1,100
TRAM2,100
SCEL,100
AKT3,100
SLC35A5,100
KIF24,100
SLK,100
FCHO2,100
TAGLN2,100
ZBTB48,100
BNIPL,100
EPB41L4A,100
BICDL2,100
ZNF622,100
SLC2A6,100
CCNK,100
PTPN11,100
BCKDHA,100
MASTL,100
MORF4L2,100
KBTBD11,100
HOPX,100
GYPA,100
TNS1,100
SYAP1,100
ZNF597,100
AKR7A2,100
RORA,100
NLRC4,100
NFIB,100
TLE2,100
MEIS1,100
TOM1,100
RAB7A,100
SAMSN1,100
ARHGEF2,100
PPM1J,100
FERMT2,100
TFAP2A,100
KIAA0930,100
ABLIM3,100
KIAA0232,100
KLF8,100
ODF2,100
TOM1L2,100
LIMD1,100
SYN1,100
CLIP2,100
JMJD7-PLA2G4B,100
TACC3,100
SMG1,100
DRP2,100
TCEA3,100
SGPP1,100
HEXDC,100
DBR1,100
RPL12,100
STK38,100
UBL4A,100
DMTN,100
CPSF7,100
SERPINA1,100
LARS,100
STK11,100
RECQL,100
ITPR3,100
KIAA1143,100
USP14,100
BAZ1A,100
ZNF750,100
SNRPD2,100
MYCT1,100
PKMYT1,100
ACTL6A,100
PDE4D,100
CHD1,100
PRKAR2B,100
ARF6,100
CDK12,100
GBP6,100
ASPG,100
SLC7A5,100
CAMK1,100
SOD3,100
EPB41L5,100
FBXW5,100
BEND5,100
GTSE1,100
GRAMD1A,100
RNF167,100
FAM114A2,100
MPP7,100
CASKIN1,100
IL1RN,100
GFRA1,100
NAV1,100
MRPS36,100
C1orf116,100
SPTBN2,100
GATAD2B,100
HJURP,100
GRHL3,100
SERPINA5,100
DEPTOR,100
SCNN1B,100
RGS12,100
ADGRA2,100
PDCD4,100
ALB,100
SLC12A4,100
TCEAL6,100
MYO1E,100
NSUN2,100
ORM1,100
TYMP,100
KCTD7,100
ZBTB20,100
EHF,100
IKZF2,100
PPM1K,100
NAA80,100
SLC39A10,100
MAP4K4,100
CHRDL1,100
C5,100
TACC2,100
TBC1D17,100
RECQL5,100
RPS6KA2,100
ERG,100
LIMCH1,100
LRBA,100
EIF4EBP1,100
RXRA,100
PRKCA,100
ECT2,100
MIGA2,100
FOXP1,100
MYH11,100
GCN1,100
CLSPN,100
KRT78,100
SSBP3,100
JAG2,100
MTCL1,100
AP4B1,100
CEP68,100
DIAPH3,100
CBX3,100
CTPS1,100
CAST,100
TMEM106A,100
GPRIN1,100
HES1,100
PPP1R18,100
F13A1,100
RAD50,100
GPATCH8,100
CCDC85A,100
PER1,100
DISP2,100
SPATS2L,100
MSN,100
PEAK3,100
SERPINB1,100
SMG9,100
LRRC47,100
