,0
IFI35,100
CAVIN2,100
EHD2,100
GREM2,100
KRT13,100
ADD3,100
NFIX,100
DCN,100
SPTBN1,100
ANK2,100
CAVIN1,100
CD34,100
SYN2,100
NFIA,100
SCG2,100
SASH1,100
OXR1,100
KRT4,100
SPTAN1,100
NAXD,99
SKI,99
AKAP12,99
EVA1C,99
TPPP,98
KANK3,97
MINDY1,97
MEOX2,96
TNS2,96
KANK2,95
AHSG,95
PIP5K1C,94
LURAP1,93
EIF4EBP2,92
CTTNBP2,92
PLEKHA7,92
ADD1,91
EBF1,90
ABLIM1,90
FETUB,88
ALDH1A1,87
CPEB3,87
GAP43,86
HSPA12B,85
SERPIND1,84
TJP1,84
CRNN,83
TRPM6,82
KNG1,81
TP53INP2,80
ARHGAP20,78
FGD6,75
CFI,74
SRSF2,74
NOP16,73
PGM5,73
KIAA1211L,72
PPP1R1C,72
MAGI3,71
FNDC3B,70
MAP6,70
TTR,68
OSR1,67
EVPL,66
MUC21,66
ZBTB7B,65
FOXO4,65
PRKAG2,65
MCF2L,65
EIF4EBP3,64
PDE2A,63
HACE1,63
MYO9B,62
PRPH,62
PCDH1,60
TH,59
PLEKHA6,58
PLCD1,57
TALDO1,56
UTRN,56
ITIH2,55
MAPK3,50
LUM,50
ARHGAP10,49
SNX7,48
SHROOM3,47
SNX15,46
KIDINS220,46
TTYH3,45
TRAM2,44
WNK4,43
SYN1,42
FAM129B,42
CNKSR3,42
PRKG1,41
ANXA1,41
PAX9,41
F9,41
LDB2,40
LNX1,39
RBSN,36
PPL,36
SPRR3,36
N4BP3,35
LPIN1,34
GPS1,34
FAS,34
STAB2,33
PREX2,33
ZNF622,32
AQP1,32
CENPH,32
EIPR1,31
FNIP2,31
COA5,31
ASPG,31
SORBS2,30
CDK9,29
AMPH,28
KALRN,28
LMOD1,27
MCPH1,26
ARHGEF10L,26
PDLIM2,26
CSNK2A2,26
NAA80,25
MYRIP,25
ANKRD35,25
PGLS,25
ZC3HAV1,25
DMTN,24
STAT2,23
CHPF2,23
ZNF532,23
TSC22D3,22
TRIP10,22
ZFAND2B,21
SORBS1,21
KLC2,21
P3H3,20
SOCS6,20
DRP2,19
HMGXB3,19
TNXB,19
NFIL3,19
CBLB,19
ZNF750,19
MRPS36,19
ERBB2,19
OSBPL3,19
UBE2M,19
PRRC2A,19
RNF167,18
CSTA,18
MYH9,18
LIFR,18
NDRG2,17
DLG3,17
SNRPD2,17
AP4B1,17
PTPN11,16
CDC25B,16
TMOD2,15
TFAP2A,15
EPB41L5,15
JMJD7-PLA2G4B,15
TOM1L2,15
CNOT10,15
ORM1,15
APOB,15
BCKDHA,14
JUND,14
GNG12,14
ZNF362,14
GYPA,13
CLIP2,13
AKT2,13
SHE,13
MYOC,12
LARS,12
NDE1,12
BICDL2,12
PURA,11
PEBP1,11
MPST,11
CKAP2,11
PRX,11
TNS1,11
GBP6,11
CLCN5,10
CLPTM1,10
GFRA1,10
PARD3B,10
APPL1,9
RASIP1,9
DAPL1,9
TCEAL6,9
PDCD4,9
IKZF2,9
TCEA3,9
NUFIP2,9
SERPINA1,9
FAM114A2,8
RADIL,8
PRRC2C,8
C16orf86,8
KCTD5,8
GMPS,7
NFIC,7
TAGLN2,7
LIPE,7
BAG2,7
POP1,7
ALDH9A1,7
NFIB,7
NEFM,7
MORC2,7
KLF8,7
MARCKSL1,6
C5AR1,6
TYRO3,6
EPB41L4A,6
RAB7A,6
TRIOBP,6
MIGA2,6
COL14A1,6
CALHM5,6
CLDN5,6
MEIS1,6
CGNL1,6
KRT78,5
SCEL,5
ATP5PO,5
RORA,5
CASKIN1,5
SYAP1,5
SLK,5
SAMSN1,5
C5,5
CCNK,5
MED23,5
SELENOP,5
RAD50,5
COG5,4
XAF1,4
VPS72,4
SF3A2,4
RECQL,4
ARHGEF35,4
FBXW5,4
SLC2A6,4
UBL4A,4
NRIP2,4
BCAS1,4
SLC39A10,4
SH3PXD2B,4
CAPN1,4
RFX2,4
GULP1,3
SMAP1,3
TACC2,3
CHD1,3
CAST,3
MASTL,3
STK38,3
HEXDC,3
SNTB2,3
MACF1,3
EML4,3
DERL1,3
TJP3,3
ADGRA2,3
ZBTB16,3
KIAA0930,3
HSPH1,3
MORF4L2,3
PER1,2
CDH11,2
YTHDF2,2
DDX60,2
CEP170,2
CDC6,2
GRAMD1A,2
AHDC1,2
UBQLN1,2
LRP12,2
TLE2,2
DLC1,2
ACTR2,2
OTUD4,2
NOC2L,2
PPFIBP2,2
NLRC4,2
DLG2,2
XPC,2
GOLPH3L,2
C8A,2
AGO2,2
PRRC2B,2
LIMD1,2
EPN1,2
KIF11,2
SCNN1B,2
MTCL1,1
FSCN1,1
DBNDD1,1
KCTD12,1
NUP54,1
HAUS8,1
PEAR1,1
BARX2,1
MPP7,1
SLC7A6,1
CPSF7,1
PODN,1
ESYT1,1
SMG1,1
EIF4EBP1,1
STK11,1
GCN1,1
H1FX,1
HJURP,1
SMAD4,1
KRT17,1
CCDC85A,1
CHTF18,1
SAR1A,1
RBM8A,1
FCHO2,1
MMP1,1
MAPK6,1
PACSIN2,1
ERG,1
TFEB,1
TPTEP2-CSNK1E,1
SERPINA5,1
RBM15,1
C1orf116,1
PRKAR2B,1
VCPIP1,1
ZFYVE28,1
TOM1,1
MYH11,1
KCTD7,1
CEP68,1
FERMT2,1
APRT,1
ILDR1,1
RBBP8NL,1
MBP,1
DHRS11,1
AKR7A2,1
TIMELESS,1
TYMP,1
MSN,1
RGS12,1
BAZ1B,1
NDC80,1
GIT1,1
MAP4K4,1
IKZF5,1
SGPP1,1
SOD3,1
ITGB1,1
BNIPL,1
ZNF185,1
CBFB,1
KYAT3,1
PKMYT1,1
HELZ,1
MGLL,1
CSNK1A1,1
