,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,CAVIN2,CAVIN2,CAVIN2,SPTAN1,NFIA,NFIA,IFI35,CAVIN2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,NFIA,NFIA,NFIA,NFIA,SPTAN1,EHD2,CAVIN2,NFIA,SPTAN1,IFI35,SASH1,EHD2,IFI35,NFIA,NFIA,SPTAN1,IFI35,SPTAN1,ADD3,CAVIN2,CAVIN2,NFIA,CAVIN2,NFIA,SPTAN1,NFIA,NFIA,SPTAN1,CAVIN2,SPTAN1,NFIA,GREM2,NFIA,EHD2,NFIA,CAVIN2,NFIA,IFI35,NFIA,CAVIN2,IFI35,IFI35,CAVIN2,CAVIN2,NFIA,NFIA,CAVIN2,CAVIN2,IFI35,SKI,NFIA,CAVIN2,NFIA,IFI35,CAVIN2,NFIA,SPTAN1,NFIA,SKI,SPTAN1,EHD2,CAVIN2,EHD2,IFI35,EHD2,NFIA,CAVIN2,NFIA,NFIA,CAVIN2,NFIA,NFIA,SPTAN1,IFI35,SPTAN1,NFIA,CAVIN2,NFIA,SPTAN1,GREM2,IFI35,NFIA,NFIA,SPTBN1,CAVIN2,EHD2
1,IFI35,EHD2,IFI35,CAVIN2,CAVIN2,CAVIN2,NFIA,IFI35,NFIA,NFIA,NFIA,NFIA,SYN2,NFIA,CAVIN2,IFI35,CAVIN2,SPTAN1,NFIA,NFIA,CTTNBP2,CAVIN2,CAVIN2,CAVIN2,CAVIN2,NFIA,NFIA,SPTAN1,SPTAN1,CAVIN2,CAVIN2,CAVIN2,CAVIN2,SPTAN1,NFIA,CAVIN2,NFIA,SYN2,NFIA,CAVIN2,CAVIN2,CAVIN2,EHD2,CAVIN2,SKI,CAVIN2,SPTAN1,NFIA,SPTAN1,SPTAN1,EHD2,CAVIN2,CAVIN2,NFIA,CAVIN2,CAVIN2,NFIA,NFIA,SKI,EHD2,NFIA,GREM2,EHD2,ADD3,CAVIN2,NFIA,SPTAN1,NFIA,EHD2,SPTAN1,EHD2,CAVIN2,NFIA,NFIA,NFIA,EHD2,NFIA,EHD2,CAVIN2,SPTAN1,NFIA,CAVIN2,SPTAN1,SPTAN1,CAVIN2,CAVIN2,EHD2,CAVIN2,NFIA,CAVIN2,EHD2,IFI35,CAVIN2,NFIA,NFIA,IFI35,CAVIN2,NFIA,NFIA,IFI35
2,SPTAN1,NFIA,SPTAN1,EHD2,SPTAN1,SPTAN1,SPTAN1,EHD2,SPTAN1,SPTAN1,EHD2,SPTAN1,NFIA,SPTAN1,EHD2,SPTAN1,EHD2,EHD2,CAVIN2,NAXD,IFI35,SPTAN1,NFIA,NFIA,NFIA,SKI,SPTAN1,CAVIN2,IFI35,SYN2,NFIA,NFIA,NFIA,IFI35,SPTAN1,EHD2,SPTAN1,SPTAN1,KRT4,SPTAN1,SPTAN1,SKI,SPTAN1,NFIA,CAVIN2,SPTAN1,CAVIN2,CAVIN2,CAVIN2,NAXD,CAVIN2,NFIA,SPTAN1,SPTAN1,NFIA,NFIA,SPTAN1,SKI,EHD2,SYN2,SPTAN1,SPTAN1,CAVIN2,SPTAN1,EHD2,SPTAN1,EHD2,CAVIN2,SPTAN1,EHD2,SPTBN1,SPTAN1,CAVIN2,CAVIN2,SPTAN1,NFIA,CAVIN2,SPTAN1,SPTAN1,SYN2,SPTAN1,SPTAN1,CAVIN2,NFIA,SPTAN1,SPTAN1,CAVIN2,NFIA,CAVIN2,IFI35,NFIA,CAVIN2,NFIA,CAVIN2,SPTAN1,SPTAN1,SPTAN1,DCN,KANK3,CAVIN2
3,NFIA,SPTAN1,NFIA,NFIA,SKI,SPTBN1,CAVIN2,SPTAN1,SASH1,SPTBN1,SKI,EHD2,SPTAN1,IFI35,SYN2,CAVIN2,IFI35,CAVIN2,EVA1C,SPTAN1,SPTAN1,EHD2,IFI35,SPTAN1,EHD2,CAVIN2,CAVIN2,IFI35,CAVIN2,ADD3,SPTAN1,GREM2,IFI35,NFIA,EHD2,SPTAN1,EHD2,CAVIN2,EHD2,SKI,GREM2,CD34,SYN2,EHD2,SPTAN1,IFI35,EHD2,IFI35,IFI35,NFIA,SPTAN1,SPTAN1,IFI35,IFI35,SPTAN1,SPTAN1,EHD2,SYN2,SPTAN1,SPTAN1,SYN2,NFIA,CD34,CAVIN2,SPTAN1,SKI,SYN2,SPTAN1,NFIA,CAVIN2,CAVIN2,IFI35,EHD2,ADD3,NAXD,CD34,SPTAN1,NFIA,IFI35,CAVIN2,IFI35,EHD2,CD34,ADD3,IFI35,SYN2,CD34,SPTAN1,CD34,SPTAN1,IFI35,CAVIN1,EHD2,ADD3,CAVIN2,SKI,SYN2,CAVIN2,SASH1,SPTAN1
4,EHD2,NAXD,SYN2,CAVIN1,EHD2,SYN2,CAVIN1,NFIA,EHD2,GREM2,SPTBN1,CAVIN1,EHD2,SPTBN1,IFI35,SYN2,SPTAN1,SPTBN1,SASH1,IFI35,NFIA,OXR1,EHD2,CAVIN1,SPTAN1,IFI35,SYN2,EVA1C,ADD3,CD34,EHD2,SYN2,SASH1,EHD2,CAVIN1,SKI,ADD3,EHD2,CD34,IFI35,IFI35,DCN,NFIA,SKI,IFI35,NFIA,IFI35,SPTAN1,NFIX,IFI35,GREM2,EHD2,DCN,SKI,EHD2,NFIX,DCN,SPTAN1,CAVIN2,CAVIN2,IFI35,SKI,SPTAN1,NFIA,SASH1,EHD2,CAVIN2,SYN2,GREM2,SPTBN1,NFIA,EHD2,SPTAN1,IFI35,CD34,IFI35,ADD3,CAVIN2,NFIA,EHD2,SYN2,IFI35,ADD3,CAVIN1,EHD2,EHD2,SYN2,NAXD,CAVIN1,EHD2,CD34,SPTAN1,IFI35,IFI35,SYN2,CAVIN2,SPTBN1,SPTAN1,EHD2,NFIA
5,GREM2,IFI35,ADD3,IFI35,SYN2,SKI,EHD2,CAVIN1,SKI,IFI35,SPTAN1,IFI35,IFI35,CAVIN1,SPTAN1,EHD2,CD34,IFI35,IFI35,CAVIN2,NAXD,CAVIN1,CAVIN1,SASH1,SYN2,SPTAN1,SKI,SASH1,EHD2,NFIA,SYN2,SASH1,SPTAN1,SYN2,NAXD,ADD3,IFI35,SKI,CAVIN2,SPTBN1,NAXD,NFIA,IFI35,DCN,EHD2,SKI,SKI,SKI,EHD2,CD34,IFI35,SYN2,SYN2,SYN2,SCG2,SASH1,SPTBN1,IFI35,IFI35,IFI35,EHD2,IFI35,NFIA,IFI35,SYN2,IFI35,SPTBN1,SPTBN1,CAVIN1,IFI35,EVA1C,SASH1,ADD3,SYN2,CAVIN2,SPTAN1,EVA1C,ADD3,NAXD,IFI35,CAVIN1,CAVIN1,EHD2,CD34,SKI,SKI,SKI,GREM2,ANK2,SYN2,SPTAN1,EHD2,EVA1C,SPTAN1,SKI,EVA1C,SASH1,CD34,CAVIN1,SPTBN1
6,CAVIN1,ADD3,PIP5K1C,KRT4,IFI35,CD34,DCN,SASH1,SYN2,EHD2,IFI35,DCN,PIP5K1C,EHD2,CAVIN1,SPTBN1,SYN2,SYN2,SYN2,SKI,SASH1,IFI35,LURAP1,EHD2,SKI,SYN2,CAVIN1,SYN2,CAVIN1,IFI35,CD34,KRT4,CAVIN1,GREM2,IFI35,SYN2,SYN2,CD34,SPTBN1,SYN2,SYN2,IFI35,SPTBN1,OXR1,SYN2,SPTBN1,CD34,NAXD,SYN2,SYN2,SPTBN1,SPTBN1,SKI,SASH1,CAVIN1,EHD2,CAVIN1,EHD2,EVA1C,NFIX,ADD3,NFIX,SASH1,LURAP1,CAVIN1,OXR1,IFI35,NFIX,SCG2,SYN2,ADD3,CAVIN1,SYN2,CD34,SASH1,CAVIN1,SKI,CD34,CAVIN1,SASH1,SASH1,EVA1C,IFI35,SYN2,GREM2,SPTBN1,NFIA,EHD2,IFI35,SCG2,NAXD,SYN2,SYN2,SKI,EHD2,EHD2,SKI,SCG2,SPTAN1,SYN2
7,SPTBN1,SYN2,EVA1C,CTTNBP2,EVA1C,EHD2,CD34,SKI,IFI35,CAVIN1,CAVIN1,SYN2,NAXD,ADD3,EVA1C,SKI,SKI,NFIX,SPTBN1,SYN2,KANK3,GREM2,SKI,AKAP12,IFI35,SCG2,EHD2,EHD2,EVA1C,SKI,SKI,SKI,SYN2,CD34,CD34,ANK2,SKI,CAVIN1,GAP43,CD34,SASH1,CAVIN1,EVA1C,CD34,CD34,SYN2,SYN2,TPPP,SKI,CAVIN1,ADD3,SKI,EHD2,CD34,NAXD,CAVIN1,IFI35,SASH1,SYN2,SKI,SPTBN1,EHD2,CAVIN1,EHD2,SCG2,NAXD,CD34,SASH1,NAXD,AKAP12,SYN2,DCN,IFI35,CAVIN1,SPTBN1,GREM2,ANK2,SYN2,AKAP12,CD34,DCN,ANK2,EVA1C,ANK2,NFIX,IFI35,IFI35,SPTBN1,SPTBN1,CAVIN1,ADD3,CD34,SPTBN1,SASH1,SPTBN1,SYN2,CD34,IFI35,ANK2,NAXD
8,CD34,CAVIN1,ANK2,CD34,CD34,IFI35,SASH1,SYN2,NFIX,SYN2,SCG2,SKI,SPTBN1,CD34,MINDY1,NFIX,SPTBN1,SKI,SKI,ADD3,CAVIN1,SKI,GREM2,SYN2,NAXD,SPTBN1,CD34,ADD3,OXR1,EHD2,SCG2,SPTBN1,ANK2,NAXD,GREM2,CD34,CAVIN1,SPTBN1,SYN2,EHD2,EHD2,EHD2,CAVIN1,SYN2,SPTBN1,EHD2,CAVIN1,CAVIN1,CD34,ADD3,PIP5K1C,NOP16,ADD3,AKAP12,SPTBN1,AKAP12,SKI,CD34,EIF4EBP2,CD34,CD34,SYN2,SPTBN1,SASH1,IFI35,ADD3,ANK2,EVA1C,NFIX,CD34,CD34,SCG2,CD34,SPTBN1,CAVIN1,ADD3,SYN2,ANK2,SASH1,SKI,EHD2,CD34,SYN2,SPTBN1,SPTBN1,EVA1C,SASH1,NFIX,ADD3,SASH1,NFIX,SPTBN1,SKI,ANK2,CD34,SPTBN1,CAVIN1,CAVIN1,NAXD,NFIX
9,SYN2,SKI,SASH1,SYN2,SPTBN1,CAVIN1,SPTBN1,TPPP,SCG2,CD34,GREM2,CD34,NFIX,SKI,NFIX,CAVIN1,SCG2,ADD3,NAXD,CAVIN1,EHD2,CD34,SYN2,ADD3,CAVIN1,GREM2,ADD3,SPTBN1,SYN2,SPTBN1,NAXD,IFI35,EHD2,SASH1,SYN2,CAVIN1,AKAP12,IFI35,OXR1,SASH1,ADD3,SASH1,NAXD,IFI35,TPPP,SASH1,NFIX,SASH1,SASH1,ANK2,ANK2,ANK2,NAXD,EHD2,KANK2,CD34,CD34,CAVIN1,SPTBN1,NAXD,AKAP12,NAXD,SYN2,CD34,NFIX,SYN2,DCN,EHD2,SPTBN1,SKI,NAXD,SPTBN1,CAVIN1,SKI,ANK2,NFIX,CD34,NAXD,SYN2,NAXD,CD34,SYN2,SKI,IFI35,ADD3,CD34,CAVIN1,SYN2,EHD2,KANK2,CAVIN1,SKI,NAXD,NAXD,NFIX,NAXD,EHD2,EHD2,ADD3,SASH1
