,0
TMEM100,100
SASH1,100
MYO10,100
ADAM12,100
FAM149A,100
SNX10,100
NDRG2,100
SECISBP2L,100
C1QTNF6,100
LOC105378909,100
PTK7,100
RRAGD,100
CBX3,100
VIT,100
MORC2,100
SORT1,100
LOC105378437,100
CTTNBP2,100
MMP12,100
SCN7A,100
SPAG5,100
DLEU1-AS1,100
FGF10-AS1,100
PLIN1,100
ECT2,100
PLAU,100
SERPINH1,100
FAM189A2,100
HLF,100
NTRK3,100
QARS,100
EPB41L4A,100
COLGALT1,100
ADAMTS12,100
EMC3,100
PLPP3,100
SUOX,100
TGFBR3,100
ADH1B,100
ABCA10,100
PLCXD3,100
PRIM2,100
RFC4,100
RAD51AP1,100
MMP11,100
KIF4A,100
KPNA2,100
MFAP2,100
MSANTD3-TMEFF1,100
MICAL2,100
MINDY1,100
NDE1,100
DLEU7,100
HMGCS2,100
CGNL1,100
LOC107986430,100
FOXO4,100
KAT2B,100
HOXC9,100
MAGI1,100
TNXB,100
DLG2,100
GPT,100
DTL,100
LOC100129940,100
MYBL2,100
RNASE4,100
MTHFD1L,100
PGM5P4,100
HMGA2,100
CTHRC1,100
MGLL,100
ADH4,100
TMEM138,100
IL11RA,100
SHCBP1,100
PAK2,100
LOXL2,100
KRT4,100
MMRN1,100
HOXD10,100
SLC27A6,100
ESM1,100
ADAR,100
LYVE1,100
TONSL,100
TMEM132A,100
CNTFR,100
CPEB3,100
C1QTNF7,100
NFIA,100
LMOD1,100
ALDH9A1,100
BMX,100
E2F3,100
METTL7A,100
RUVBL1,100
RNF2,100
FAM91A1,100
ACACB,100
AURKA,100
MIR4435-2HG,100
FAM219B,100
MYO1B,100
EXO1,100
RIPK2,100
KIF14,100
STRADB,100
AATF,100
MTBP,100
NCAPH,100
SMIM10,100
SELENBP1,100
PAIP2B,100
CDC6,100
TCP11L2,100
LOC105377911,100
LOC107985664,100
ACADVL,100
UBE2Z,100
MOGAT1,100
ITPR3,100
TMEM252,100
DNMT1,100
LOC105376405,100
CDCA5,100
CENPI,100
MAML3,100
CNGB1,100
MAMDC2,100
CYP4B1,100
ABHD14B,100
LOC102724122,100
TRIP13,100
KRT13,100
PLEKHA6,100
GPT2,100
LINC01839,100
TNMD,100
RAD21,100
EPHX2,100
AGFG2,100
CDC25B,100
VAV2,100
GSN,100
SORCS1,100
LGI1,100
XPNPEP2,100
LOC105376126,100
KIF18B,100
GRIK3,100
GPX3,100
C2orf40,100
CIP2A,100
ZNF200,100
SEMA3G,100
FAM3D,100
MTFR1L,100
LOC110091776,100
NR3C2,100
