,0
NRG2,100
ABCA8,100
CAB39L,100
CLEC3B,100
F10,100
ASPA,99
SASH1,99
NXPH3,99
PKHD1L1,98
LOC105373266,98
SCARA5,98
FAM107A,98
GPD1L,97
CFD,96
TMEM100,96
PLP1,94
STX1A,93
MMP12,92
CLSPN,91
GPRIN1,91
TMEM132C,91
GREM2,90
RERGL,89
PLAC9,89
GGTA1P,88
ADAMTS9-AS2,83
MIR29B2CHG,83
LAMC2,82
CEP55,82
CCL14,81
FAIM2,81
MMP1,80
VIT,79
ETFDH,79
ADAM12,78
PLA2G7,77
PLAU,77
MYRIP,76
HLF,76
MMP11,76
FAM149A,76
FAXDC2,76
SH3BGRL2,75
INHBA,74
KIF26B,73
PEBP1,72
LOC105373265,71
FGF10,71
GSTM5,70
SECISBP2L,69
IL11,68
RFC4,68
SCN7A,68
KRT13,65
NOSTRIN,64
LOC105378437,64
TNXB,63
KAT2B,63
MYO10,62
ADH1B,60
ADAMTS12,60
TPX2,60
MYO1B,58
CDC6,58
KRT4,58
LOC105378909,57
PTK7,54
CBX3,53
NTRK3,53
LOC100129940,52
MINDY1,51
KIF14,51
SPOCD1,50
KPNA2,49
ATP13A3,49
MMRN1,49
LOXL2,48
FOXM1,47
TGFBR3,46
CTHRC1,45
KIF2C,44
TUBB3,43
MAMDC2,43
PLCXD3,43
FAM219B,42
LGI1,42
MSANTD3-TMEFF1,41
MYOC,41
C1QTNF7,40
MFAP2,40
CYP4F29P,39
TRIP13,38
KIF4A,38
CTTNBP2,37
SORT1,37
R3HDM1,37
MPC1,36
DTL,36
TMEM252,35
LOC107986430,35
LOC105379051,33
MTBP,33
GSN,33
MORC2,32
PAIP2B,31
CDCA5,31
QARS,31
MGLL,30
SPINDOC,30
WDR54,30
PGM5P4,30
RSPO1,29
EMC3,28
ACADVL,27
SEMA3G,26
MMP13,26
RUVBL1,26
TMEM132A,26
RAD51AP1,26
SUOX,25
LRRN4CL,25
WDR66,25
PPP1R3C,25
HOXC8,25
FAM189A2,25
RAD21,24
AR,24
EXO1,24
CNTFR,24
SERPINH1,24
NDRG2,23
SHCBP1,23
SRSF5,23
CD276,22
RRAGD,22
ABCA10,22
SORCS1,22
AURKA,22
LOC107984568,21
ADH4,21
LOC107985664,21
UBL3,21
LOC107984567,21
METTL7A,21
MUC21,20
ANKRD20A5P,20
GRIK3,20
MCM2,20
DCBLD1,20
PGM5,20
LOC102723638,20
ECHDC2,20
C1QTNF6,19
MYZAP,19
OTC,19
LOC102724122,19
YEATS2,18
MGST2,18
LOC107984410,18
