,0
GREM2,89
SASH1,85
CAB39L,79
CLEC3B,72
ASPA,69
F10,65
LOC105373265,64
ETFDH,59
MMP11,56
MMP12,45
TMEM132C,38
NRG2,36
PLP1,35
SH3BGRL2,33
GGTA1P,31
CBX3,30
KIF26B,30
NXPH3,29
MINDY1,29
CTTNBP2,27
ADAMTS9-AS2,25
ADAM12,25
MMRN1,23
CTHRC1,22
PLA2G7,20
CFD,20
CCL14,19
LOC107984567,17
C1QTNF6,17
HLF,16
MAMDC2,16
MCM2,15
MYZAP,15
QARS,15
MYRIP,15
RAD21,15
EIF2AK2,15
KRT13,15
OTC,14
MOGAT1,14
LINC01839,14
LOC105378437,14
C14orf180,14
GSTM5,13
ADH4,13
MSANTD3-TMEFF1,13
MGLL,13
FAM149A,13
ADAR,13
LOC102724122,13
FUT6,12
EMC3,12
MMP1,12
FAM107A,12
INHBA,11
LOC102723638,11
EPB41L4A,11
PLPP3,10
LOC105373266,10
CNTFR,10
PKHD1L1,10
ATIC,9
ZNF536,9
EMP1,9
LYVE1,8
MGST2,8
TMEM132A,8
ADAMTS12,8
VAV2,8
LAMC2,8
SECISBP2L,7
PDLIM2,7
RELN,7
RAD51AP1,7
UBL3,7
PEBP1,7
RUVBL1,7
IL17RC,6
CIP2A,6
SNX10,6
IL11,6
R3HDM1,6
NOSTRIN,6
GRIK3,6
HOXC9,6
GRIN2D,6
LOC100129940,6
TMEM100,6
BMX,5
DNAH17,5
TGFBR3,5
TMEM252,5
PLXNA1,5
NDNF,5
MTBP,5
ATP6V1C1,5
SOX11,5
ACOX1,5
LGI1,5
HOXC8,4
KIF14,4
FAIM2,4
C1QTNF7,4
MAGI1,4
C2orf40,4
LRRN4CL,4
CDC25B,4
ZNF281,4
RHEBL1,4
DLEU7,4
LOC105375469,4
PLEKHA6,4
GPT2,4
AATF,4
ANGPTL5,4
PPARG,3
ESM1,3
HOTAIR,3
CYP4F29P,3
TRIP10,3
ALDH9A1,3
FSD1,3
FAM219B,3
CYP4B1,3
CEP55,3
FOXM1,3
HSD17B4,3
PLCXD3,3
LCAL1,3
LOC105374314,3
LIMK1,3
LOXL2,3
HMGA2,3
SORT1,3
CKAP2,2
RRAGD,2
ATP2C1,2
KRT4,2
CYP4F35P,2
LINC00330,2
KIF2C,2
PCOTH,2
LINC00908,2
EME1,2
TIMELESS,2
FAXDC2,2
LOC107986020,2
LOC101929752,2
CENPL,2
SPOCD1,2
POSTN,2
FGF10,2
SLC16A6,2
TMEM138,2
LRRK2,2
PRIM2,2
CIPC,2
RPL32,2
LOC105377928,2
UHRF1,2
PPP1R3C,2
LOC107984568,2
PGM5P4,2
AURKA,2
PRKDC,2
C12orf75,2
LOC107986022,2
TIMP4,2
MYO10,2
FEN1,2
SCP2,2
AIF1L,2
CGNL1,2
SNX9,2
MELK,2
ADAMTS14,1
STX1A,1
FAM3B,1
ANKRD20A11P,1
ATP6V0A4,1
ATP13A3,1
TPX2,1
SLC24A2,1
LINC00417,1
LOC105376081,1
MUC21,1
CLDN11,1
LOC107986430,1
LOC107984410,1
ARTN,1
LINC00551,1
MFAP2,1
NTRK3,1
LOC105378909,1
MYO1B,1
MYBL2,1
HCG22,1
ACPP,1
PLAUR,1
LRRTM1,1
CRYL1,1
APBA2,1
SORCS1,1
LOC105376074,1
HAUS8,1
PKMYT1,1
TNMD,1
SELENBP1,1
USB1,1
ANGPTL1,1
LOC100505918,1
CD276,1
NEMP1,1
LOC105376126,1
ADGRD1,1
PLIN1,1
FGD6,1
RBM47,1
MYOC,1
PADI1,1
KIAA1211L,1
LINC02154,1
KCNT2,1
GPX3,1
SPINDOC,1
NCOA1,1
XPR1,1
TACC3,1
CIDEA,1
SLC38A7,1
NDRG2,1
SPAG5,1
FGF10-AS1,1
METTL24,1
CRNN,1
IL24,1
MAL,1
RNASE4,1
FAM3D,1
FMO2,1
CAVIN2,1
BRK1,1
LOC107984512,1
AUNIP,1
SPINK5,1
IL11RA,1
IGF2BP2,1
SGO2,1
LOC107984611,1
NOP53,1
SLC26A6,1
NDE1,1
EPB41L4A-AS2,1
ATP5PO,1
KAT2B,1
PRELID3A,1
BRCA1,1
ADH1B,1
C2orf54,1
DCBLD1,1
LOC100128770,1
CCL11,1
LOC105370178,1
TM7SF2,1
LOC101927027,1
LOC105372314,1
LOC112268153,1
COLGALT1,1
CA9,1
KIF18B,1
