,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,NRG2,F10,F10,PKHD1L1,F10,CLEC3B,ASPA,CLEC3B,CLEC3B,CLEC3B,CAB39L,CAB39L,LOC105373266,F10,CLEC3B,CAB39L,CLEC3B,F10,SASH1,CLEC3B,ABCA8,F10,CLEC3B,CLEC3B,F10,CAB39L,CAB39L,F10,F10,CFD,CAB39L,PLP1,ABCA8,PLP1,CLEC3B,CLEC3B,PLAC9,TMEM100,CLEC3B,CAB39L,GPD1L,CLEC3B,CLEC3B,GPD1L,CAB39L,CLEC3B,CFD,CLEC3B,F10,F10,CLEC3B,SCARA5,CLEC3B,CAB39L,F10,NXPH3,ABCA8,FAM107A,CAB39L,ASPA,TMEM100,SASH1,CAB39L,CAB39L,F10,F10,CLEC3B,CLEC3B,CLEC3B,CAB39L,CLEC3B,NRG2,F10,CLEC3B,NXPH3,CLEC3B,CAB39L,ABCA8,CLEC3B,CAB39L,CLEC3B,CAB39L,CAB39L,F10,CAB39L,PLAC9,CLEC3B,ABCA8,CLEC3B,F10,CAB39L,F10,ABCA8,F10,CLEC3B,CLEC3B,F10,ABCA8,CLEC3B,PKHD1L1
1,CLEC3B,CLEC3B,CLEC3B,NXPH3,CLEC3B,F10,SASH1,F10,CAB39L,NRG2,ABCA8,F10,F10,CLEC3B,GGTA1P,NXPH3,F10,SASH1,ASPA,F10,NXPH3,LOC105373265,VIT,ADAMTS9-AS2,CLEC3B,CLEC3B,PLAU,CAB39L,ABCA8,ABCA8,ASPA,CLEC3B,CAB39L,F10,ABCA8,SCARA5,CFD,CLEC3B,F10,ABCA8,CLEC3B,GPD1L,F10,CAB39L,CLEC3B,RERGL,CLEC3B,RERGL,CLEC3B,CLEC3B,CAB39L,NXPH3,NRG2,CLEC3B,CAB39L,CLEC3B,F10,NXPH3,CLEC3B,CAB39L,CLEC3B,CLEC3B,CLEC3B,CLEC3B,FAM107A,CLEC3B,TMEM100,F10,F10,F10,F10,CAB39L,CLEC3B,NRG2,CLEC3B,F10,CLEC3B,CLEC3B,F10,F10,F10,SH3BGRL2,CLEC3B,CAB39L,ABCA8,ABCA8,GPD1L,CLEC3B,NRG2,LOC105373266,ABCA8,CLEC3B,CAB39L,NXPH3,CAB39L,F10,CLEC3B,CAB39L,F10,F10
2,CAB39L,NXPH3,TMEM132C,F10,CAB39L,CAB39L,PLP1,GGTA1P,ABCA8,CAB39L,CLEC3B,CLEC3B,CAB39L,GREM2,F10,F10,CAB39L,ABCA8,CLEC3B,SCARA5,CLEC3B,NXPH3,PLP1,ABCA8,CAB39L,F10,CLEC3B,ABCA8,CAB39L,CLEC3B,PLP1,F10,CLEC3B,ABCA8,SCARA5,CAB39L,CLEC3B,F10,LOC105373266,CLEC3B,F10,CAB39L,NXPH3,MMP12,F10,CAB39L,PLAC9,SCARA5,CAB39L,CAB39L,F10,CLEC3B,SASH1,F10,ABCA8,CAB39L,CAB39L,CLEC3B,F10,CLEC3B,F10,PLP1,NRG2,F10,CLEC3B,CAB39L,ABCA8,PLAC9,SASH1,GGTA1P,CAB39L,NXPH3,TMEM132C,GPD1L,PLAC9,CEP55,LOC105373266,FAM107A,PKHD1L1,CLEC3B,ASPA,F10,PLAU,CLEC3B,CLEC3B,CAB39L,CAB39L,STX1A,F10,CLEC3B,CLEC3B,LOC105373266,SCARA5,CLEC3B,ASPA,CAB39L,ASPA,PLP1,CAB39L,CLEC3B
3,F10,CAB39L,CAB39L,TMEM100,ABCA8,ASPA,CAB39L,GPD1L,F10,PLA2G7,F10,ASPA,CLEC3B,NXPH3,CAB39L,CLEC3B,GGTA1P,CLEC3B,CAB39L,ASPA,CAB39L,NRG2,F10,CAB39L,GGTA1P,ABCA8,F10,CLEC3B,CLEC3B,PLAC9,CLEC3B,CAB39L,CLSPN,CLEC3B,NXPH3,FAM149A,ABCA8,SASH1,LOC105373265,KIF26B,CAB39L,F10,CAB39L,SASH1,ABCA8,SASH1,F10,SASH1,ABCA8,LOC105373265,GPD1L,TMEM100,F10,ASPA,CLEC3B,GREM2,CLEC3B,CAB39L,MMP12,SASH1,CAB39L,ABCA8,ABCA8,ABCA8,PKHD1L1,LOC105373266,ASPA,CAB39L,CAB39L,TMEM100,ABCA8,CLEC3B,TMEM100,CAB39L,ABCA8,CAB39L,F10,CAB39L,CAB39L,GGTA1P,CAB39L,CLEC3B,F10,SASH1,F10,CFD,F10,CAB39L,ADAMTS9-AS2,CAB39L,F10,TMEM100,CLEC3B,NRG2,GPD1L,ASPA,CAB39L,ASPA,ABCA8,TMEM100
4,GPD1L,GPD1L,ABCA8,MIR29B2CHG,NXPH3,ABCA8,CLEC3B,SASH1,TMEM100,SASH1,SCARA5,TMEM100,NRG2,PLAC9,NRG2,ABCA8,ABCA8,TMEM100,TMEM100,CAB39L,F10,ASPA,CCL14,F10,ABCA8,GPD1L,LAMC2,TMEM100,NRG2,FAIM2,STX1A,SASH1,CCL14,CAB39L,TNXB,ABCA8,PKHD1L1,CAB39L,CAB39L,ETFDH,NXPH3,LOC105373266,TMEM100,ABCA8,SASH1,MMP1,TMEM100,ASPA,TMEM100,ABCA8,ABCA8,CAB39L,GPD1L,GREM2,TMEM100,SASH1,SASH1,PLAC9,ABCA8,LOC105373266,ADAR,F10,FAM107A,CEP55,CAB39L,TMEM100,F10,NXPH3,NRG2,CLEC3B,TMEM100,ABCA8,ASPA,F10,F10,ABCA8,TMEM100,ADH1B,ABCA8,PLP1,NRG2,SASH1,SH3BGRL2,ASPA,TMEM100,CLEC3B,ASPA,F10,CAB39L,GGTA1P,TMEM100,NRG2,CLSPN,PKHD1L1,F10,GPD1L,MYZAP,SASH1,TMEM100,FAM107A
5,ABCA8,ABCA8,NRG2,FAM107A,ADAM12,GGTA1P,TMEM100,CAB39L,NXPH3,GPD1L,GPRIN1,ABCA8,STX1A,NRG2,FAM107A,FAM107A,SASH1,ASPA,F10,ABCA8,TMEM100,CLEC3B,CFD,SCARA5,NXPH3,PLAC9,FAM107A,CEP55,SH3BGRL2,SCARA5,SASH1,ASPA,F10,NXPH3,CCL14,NXPH3,NXPH3,GPD1L,ASPA,GPD1L,ABCA8,ABCA8,ABCA8,CLEC3B,NXPH3,F10,NXPH3,F10,SCARA5,NRG2,STX1A,ASPA,ASPA,SASH1,ASPA,TMEM132C,ASPA,ABCA8,PLP1,STX1A,ASPA,ASPA,F10,TMEM100,ABCA8,ABCA8,PLP1,CLSPN,GREM2,FAM107A,PLAC9,FAM107A,CAB39L,KIF26B,FAM149A,TMEM100,NRG2,F10,FAM107A,ABCA8,LOC105373265,GPD1L,NRG2,ABCA8,ASPA,NXPH3,MIR29B2CHG,FAM107A,ABCA8,LOC105378909,GSTM5,CAB39L,PLP1,TMEM100,ETFDH,SASH1,SCARA5,CLEC3B,SCARA5,NXPH3
6,SASH1,GGTA1P,GGTA1P,CLEC3B,FAM107A,FAM107A,STX1A,ABCA8,NRG2,F10,STX1A,MMP11,ABCA8,CAB39L,STX1A,TMEM100,PLP1,GREM2,ABCA8,ADAMTS12,ASPA,CAB39L,PLAC9,ASPA,GPD1L,FAM107A,PKHD1L1,ASPA,TMEM100,ADAMTS9-AS2,MMP12,GPD1L,CEP55,NRG2,F10,FAXDC2,TMEM100,INHBA,GPD1L,F10,GPRIN1,STX1A,NRG2,ASPA,MIR29B2CHG,STX1A,CLSPN,GPD1L,NXPH3,MMP11,SASH1,ABCA8,CAB39L,GPD1L,SCARA5,F10,STX1A,PKHD1L1,ASPA,CFD,ETFDH,CAB39L,CEP55,MMP12,NXPH3,GGTA1P,NXPH3,CFD,ABCA8,PLAC9,NXPH3,TMEM100,GREM2,ABCA8,CAB39L,KIF26B,ABCA8,PLAC9,TMEM100,ASPA,GPD1L,NRG2,TMEM100,NRG2,SASH1,TMEM100,SH3BGRL2,ADAMTS9-AS2,ADAM12,TMEM100,CBX3,ABCA8,MMP11,ABCA8,TMEM100,NXPH3,TMEM100,F10,GPRIN1,ABCA8
7,TMEM100,PLAC9,PLP1,CAB39L,ADAMTS12,NRG2,F10,PLP1,PLP1,NXPH3,GGTA1P,NXPH3,PLP1,TMEM132C,PLP1,ADAMTS9-AS2,TMEM100,CAB39L,GGTA1P,TMEM100,FAM107A,GPD1L,ABCA8,FAXDC2,TMEM100,SCARA5,TMEM100,PLAC9,GPD1L,VIT,ABCA8,ETFDH,ADAMTS9-AS2,TMEM100,CAB39L,GPRIN1,CAB39L,ABCA8,MYRIP,LAMC2,ETFDH,PLP1,PLP1,GPRIN1,FAM107A,SCARA5,ABCA8,CCL14,PKHD1L1,LOC105373266,ACACB,MMP12,CEP55,FAM107A,SASH1,NRG2,GSTM5,F10,GSTM5,NXPH3,ABCA8,GPD1L,NXPH3,PLAC9,TMEM100,NXPH3,SASH1,SCARA5,TMEM100,PKHD1L1,GPD1L,PLP1,NRG2,ETFDH,SCARA5,GPD1L,SASH1,TMEM100,NRG2,TMEM100,TMEM100,OTC,MMP12,GPD1L,ADH1B,MIR29B2CHG,ABCA8,SCARA5,GGTA1P,SASH1,NXPH3,PLP1,MMP1,CEP55,PLP1,TMEM100,KRT13,FOXM1,RERGL,CAB39L
8,LOC105373266,TMEM100,TMEM100,MYRIP,ADAMTS9-AS2,SASH1,HLF,CCL14,FAM107A,ABCA8,CCL14,PLAU,ASPA,ABCA8,TMEM100,MIR29B2CHG,GPD1L,GPD1L,FAM107A,NXPH3,CCL14,MMP11,CAB39L,NXPH3,SASH1,SASH1,ABCA8,PKHD1L1,ASPA,CLSPN,F10,GPRIN1,SCARA5,PKHD1L1,PLAC9,F10,FAM107A,ASPA,GPRIN1,ADAR,PEBP1,SASH1,GPD1L,RERGL,STX1A,SCN7A,CAB39L,PLAC9,PLP1,TMEM100,KIF26B,F10,ABCA8,PLP1,RERGL,ASPA,TMEM100,SASH1,VIT,F10,GPD1L,TMEM100,SASH1,PLP1,ASPA,PLP1,CAB39L,ABCA8,MYO10,ABCA8,PLP1,STX1A,ABCA8,QARS,FAXDC2,NXPH3,PLP1,ASPA,KIF26B,SASH1,NXPH3,ASPA,SASH1,SCARA5,NXPH3,LRRN4CL,GGTA1P,LAMC2,CEP55,ABCA8,SASH1,GSTM5,STX1A,CAB39L,ABCA8,ABCA8,ABCA8,KIF2C,GPD1L,ASPA
9,SCARA5,SASH1,GREM2,ABCA8,TMEM100,TMEM100,LAMC2,CFD,PLAC9,KIF26B,LOC105378909,CBX3,ACACB,TMEM100,MMP11,PKHD1L1,NXPH3,KIAA0232,NXPH3,PLP1,PKHD1L1,TMEM100,TNXB,CFD,LOC100129940,NXPH3,NRG2,CCL14,PKHD1L1,F10,TMEM100,ABCA8,NXPH3,ADH1B,TMEM100,ASPA,CLSPN,KIF26B,ABCA8,TUBB3,SASH1,GGTA1P,FAM107A,F10,ASPA,ABCA8,PLP1,CAB39L,PLAC9,GGTA1P,SCARA5,VIT,RERGL,NRG2,PKHD1L1,ABCA8,PLP1,TMEM132C,SCARA5,ABCA8,SASH1,GPRIN1,ASPA,GPD1L,ADAMTS9-AS2,CEP55,MMRN1,VIT,GPD1L,SCARA5,SCARA5,LAMC2,HOXC8,NXPH3,PKHD1L1,SASH1,ASPA,STX1A,GGTA1P,GPD1L,ABCA8,TMEM100,NXPH3,TMEM100,NRG2,TNXB,KIF26B,PTK7,FAM107A,ASPA,ASPA,FAM107A,GSTM5,FAM107A,FAM107A,PTK7,SASH1,TMEM100,NXPH3,GSTM5
